Utility Characteristics,,,,,,Demand,,Energy Sources (Megawatthours),,,,,,,,,,Disposition,,,,,,Electric Revenues,,,,,,,
,,,,,,(Megawatts),,,,Power Exchanged,,,Wheeled Power,,,,,(Megawatthours),,,,,,(Thousands Dollars),,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,Summer Peak Demand,Winter Peak Demand,Net Generation,Wholesale Power Purchases,Exchange Energy Received,Exchange Energy Delivered,Net Power Exchanged,Wheeled Power Received,Wheeled Power Delivered,Net Wheeled Power,Transmission by Other Losses,Total Sources,Retail Sales,Sales for Resale,Furnished without Charge,Consumed by Respondent without Charge,Total Energy Losses,Total Disposition,From Retail Sales,From Delivery Customers,From Sales for Resale,From Credits or Adjustments,From Transmission,From Other,Total,"Data Type
O = Observed
I = Imputed"
2017,1169,Bailey County Elec Coop Assn,TX,Cooperative,SPP,86.7,57.3,.,"273,402",.,.,0,.,.,0,.,"273,402","245,155",.,.,82,"28,165","273,402","25,730.30",.,.,.,.,151.5,"25,881.80",O
2017,1175,"Bandera Electric Coop, Inc",TX,Cooperative,TRE,156.7,206.1,.,"630,828",.,.,0,.,.,0,.,"630,828","581,899",.,.,805,"48,124","630,828","58,533.30",.,.,.,.,"5,168.60","63,701.90",O
2017,1176,City of Bandon - (OR),OR,Municipal,WECC,10.4,17.8,0,"68,619",0,0,0,0,0,0,0,"68,619","65,315",0,0,169,"3,135","68,619","5,649.00",0,0,0,0,0,"5,649.00",O
2017,1179,Emera Maine,ME,Investor Owned,NPCC,350,381,.,"1,772,518",.,.,0,"1,601,673","1,589,623","12,050","-12,050","1,772,518","1,382,488","333,133",.,"3,642","53,255","1,772,518","205,439.60","30,720.90","11,824.00",-522.7,"8,280.70","2,541.90","258,284.40",O
2017,1181,Village of Bangor - (WI),WI,Municipal,MRO,5.3,5,.,"27,127",.,.,0,.,.,0,.,"27,127","25,232",.,.,.,"1,895","27,127","3,124.10",.,.,.,.,.,"3,124.10",O
2017,1192,City of Banning - (CA),CA,Municipal,WECC,46.3,20.8,"199,657","170,295",.,.,0,.,.,0,.,"369,952","145,337","221,483",.,.,"3,132","369,952","28,758.10",.,"6,961.20",.,"1,509.90","1,113.60","38,342.80",O
2017,1196,Village of Baraga - (MI),MI,Municipal,MISO,3.8,3.6,0,"21,138",0,0,.,0,0,.,0,"21,138","19,176",0,0,0,"1,962","21,138","2,432.00",.,.,.,.,.,"2,432.00",O
2017,1201,Barbourville Utility Comm,KY,Municipal,RFC,19,17.9,.,"88,488",.,.,0,.,.,0,.,"88,488","88,488",.,.,.,.,"88,488","8,282.10",.,.,.,.,.,"8,282.10",O
2017,1233,City of Barnesville - (MN),MN,Municipal,MRO,4.2,5.7,.,"24,220",.,.,0,.,.,0,-524,"23,696","21,830",.,"1,048",182,636,"23,696","2,052.50",.,.,.,.,.,"2,052.50",O
2017,1251,Barron Electric Coop,WI,Cooperative,MRO,45.9,46.2,128,"380,268",.,.,0,.,.,0,.,"380,396","354,193",.,.,668,"25,535","380,396","38,106.00",.,.,.,.,125,"38,231.00",O
2017,1273,"Bartlett Electric Coop, Inc",TX,Cooperative,TRE,50.7,70.8,.,"200,039",.,.,0,.,.,0,.,"200,039","189,532",.,.,.,"10,507","200,039","20,189.70",0,0,0,0,354.6,"20,544.30",O
2017,1276,"Barrow Utils & Elec Coop, Inc",AK,Cooperative,AK,6.1,8.2,"51,369",.,.,.,0,.,.,0,.,"51,369","49,165",.,.,.,"2,204","51,369","5,955.40",.,.,.,.,.,"5,955.40",O
2017,1279,Barry Electric Coop,MO,Cooperative,SERC,42.8,39.7,.,"178,319",.,.,0,.,.,0,.,"178,319","168,340",.,347,.,"9,632","178,319","18,056.90",.,.,.,.,429.5,"18,486.40",O
2017,1283,Bartholomew County Rural E M C,IN,Cooperative,RFC,85.5,79.9,.,"415,750",.,.,0,.,.,0,.,"415,750","403,712",.,.,.,"12,038","415,750","40,168.00",.,.,.,.,376.4,"40,544.40",O
2017,1300,City of Bartow - (FL),FL,Municipal,FRCC,63,50,.,"285,148",.,.,0,.,.,0,.,"285,148","268,964",.,.,.,"16,184","285,148","34,283.00",.,.,.,.,.,"34,283.00",O
2017,1301,"Barton County Elec Coop, Inc",MO,Cooperative,SERC,38.1,30.2,.,"153,735",.,.,0,.,.,0,.,"153,735","145,477",.,.,384,"7,874","153,735","16,265.00",.,.,.,.,161,"16,426.00",O
2017,1307,Basin Electric Power Coop,ND,Cooperative,SPP,"3,578.00","3,885.00","18,584,473","12,942,620","32,303",.,"32,303","25,610","25,610",0,.,"31,559,396","1,022,273","30,427,892",.,.,"109,231","31,559,396","54,146.00",.,"1,683,371.00",.,"132,373.00",.,"1,869,890.00",O
2017,1325,City of Batavia - (IL),IL,Municipal,RFC,87.1,66.4,.,"441,580",.,.,0,.,.,0,.,"441,580","416,903",.,.,.,"24,677","441,580","46,984.70",.,.,.,.,"2,491.20","49,475.90",O
