Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2017,560,City of Amherst- (OH),A,Bundled,O,OH,Municipal,PJM,"6,069.00","55,291","5,443","1,703.00","13,412",501,"3,324.00","31,230",68,.,.,.,"11,096.00","99,933","6,012"
2017,562,Amicalola Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,"68,442.40","588,113","43,564","13,926.40","110,390","4,818",.,.,.,.,.,.,"82,368.80","698,503","48,382"
2017,571,City of Amory,A,Bundled,O,MS,Municipal,TVA,"4,035.00","37,913","2,915","6,212.00","55,387","1,092","3,064.00","39,837",3,0,0,0,"13,311.00","133,137","4,010"
2017,577,City of Alcoa Utilities,A,Bundled,O,TN,Municipal,TVA,"38,559.00","360,955","25,382","23,802.00","228,445","3,598",138,997,1,0,0,0,"62,499.00","590,397","28,980"
2017,590,City of Anaheim - (CA),A,Bundled,O,CA,Municipal,CISO,"99,455.00","601,952","111,347","137,843.00","766,709","15,086","137,754.00","976,217",304,.,.,.,"375,052.00","2,344,878","126,737"
2017,599,Anchorage Municipal Light and Power,A,Bundled,O,AK,Municipal,AMPL,"26,125.80","127,375","24,680","140,604.60","839,303","6,392",.,.,.,.,.,.,"166,730.40","966,678","31,072"
2017,604,City of Andalusia,A,Bundled,O,AL,Municipal,AEC,"5,245.00","39,538","3,605","8,639.00","60,978",987,"13,453.00","268,669",2,.,.,.,"27,337.00","369,185","4,594"
2017,636,City of Anderson - (IN),A,Bundled,O,IN,Municipal,PJM,"34,765.80","291,037","31,302","31,040.60","315,130","4,251","17,956.10","237,391",57,0,0,0,"83,762.50","843,558","35,610"
2017,689,Connexus Energy,A,Bundled,O,MN,Cooperative,MISO,"154,207.50","1,127,318","120,470","68,811.30","659,735","11,420","12,659.50","131,560",399,0,0,0,"235,678.30","1,918,613","132,289"
2017,690,City of Bardstown - (KY),A,Bundled,O,KY,Municipal,LGEE,"3,815.00","42,315","3,372","4,817.00","54,265","1,197","7,463.00","96,161",15,.,.,.,"16,095.00","192,741","4,584"
2017,691,City of Anoka,A,Bundled,O,MN,Municipal,MISO,"9,158.00","71,616","10,765","9,610.00","96,583","1,323","8,725.00","100,653",17,.,.,.,"27,493.00","268,852","12,105"
