Utility Characteristics,,,,,,Demand,,Energy Sources (Megawatthours),,,,,,,,,,Disposition,,,,,,Electric Revenues,,,,,,,
,,,,,,(Megawatts),,,,Power Exchanged,,,Wheeled Power,,,,,(Megawatthours),,,,,,(Thousands Dollars),,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,Summer Peak Demand,Winter Peak Demand,Net Generation,Wholesale Power Purchases,Exchange Energy Received,Exchange Energy Delivered,Net Power Exchanged,Wheeled Power Received,Wheeled Power Delivered,Net Wheeled Power,Transmission by Other Losses,Total Sources,Retail Sales,Sales for Resale,Furnished without Charge,Consumed by Respondent without Charge,Total Energy Losses,Total Disposition,From Retail Sales,From Delivery Customers,From Sales for Resale,From Credits or Adjustments,From Transmission,From Other,Total,"Data Type
O = Observed
I = Imputed"
2019,241,Albertville Municipal Utilities Board,AL,Municipal,SERC,106,97.7,0,"623,425",0,0,0,0,0,0,0,"623,425","604,222",0,0,0,"19,203","623,425","47,507.00",0,0,0,0,752.7,"48,259.70",O
2019,244,City of Albion - (ID),ID,Municipal,WECC,0.2,0.9,0,"199,095",0,0,0,0,0,0,0,"199,095","3,138",0,0,"1,744","194,213","199,095",275,0,0,0,0,301,576,O
2019,261,AGC Division of APG Inc,PA,Investor Owned,RFC,507,421,"4,209,036","328,239",0,0,0,0,0,0,0,"4,537,275","3,457,376","944,619",0,0,"135,280","4,537,275","148,499.90",0,"21,933.50",858.6,0,"4,501.10","175,793.10",O
2019,266,City of Alpha - (MN),MN,Municipal,MRO,1,1,0,"1,057",0,0,0,0,0,0,0,"1,057","1,057",0,0,0,0,"1,057",134,0,0,0,0,0,134,O
2019,276,Alcorn County Elec Power Assn,MS,Cooperative,SERC,123.9,100.6,0,"613,125",0,0,0,0,0,0,0,"613,125","591,269",0,0,843,"21,012","613,125","55,919.00",0,0,0,0,"1,476.60","57,395.60",O
2019,282,Village of Arcadia - (OH),OH,Municipal,RFC,1.1,1,0,"5,380",0,0,0,0,0,0,0,"5,380","5,058",0,0,0,322,"5,380",665.2,0,0,0,0,0,665.2,O
2019,289,City of Alexander City,AL,Municipal,SERC,29.9,29.8,0,"150,366",0,0,0,0,0,0,0,"150,366","129,688",0,0,0,"20,678","150,366","13,307.00",0,0,0,0,0,"13,307.00",O
2019,295,City of Alexandria - (MN),MN,Municipal,MRO,58.9,47.9,66,"291,147",0,0,0,0,0,0,0,"291,213","281,812",0,0,0,"9,401","291,213","25,137.40",0,0,0,0,894.9,"26,032.30",O
2019,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,SPP,105.4,111.7,0,"734,182",0,0,0,"1,916","1,916",0,0,"734,182","714,356",0,0,374,"19,452","734,182","52,085.00",0,0,0,0,230,"52,315.00",O
2019,298,City of Alexandria - (LA),LA,Municipal,SERC,146,116,"97,697","741,054",0,0,0,0,0,0,0,"838,751","682,356","97,697","9,951",0,"48,747","838,751","66,592.00",0,"4,168.00",0,0,0,"70,760.00",O
2019,305,Alger-Delta Coop Electric Assn,MI,Cooperative,MISO,16.3,14.1,0,"85,152",0,0,0,0,0,0,0,"85,152","75,981",0,0,0,"9,171","85,152","14,799.00",0,0,0,0,0,"14,799.00",O
2019,307,Algoma Utility Comm,WI,Municipal,MISO,7.2,6.1,0,"39,156",0,0,0,0,0,0,0,"39,156","37,325",0,0,73,"1,758","39,156","3,898.70",0,0,0,0,34,"3,932.70",O
2019,308,City of Acworth - (GA),GA,Municipal,SERC,29.3,15.3,0,"107,242",0,0,0,0,0,0,0,"107,242","101,639",0,0,"2,286","3,317","107,242","13,885.90",0,0,0,0,921.8,"14,807.70",O
2019,309,City of Algona - (IA),IA,Municipal,MRO,22,18,"47,398","175,068",0,0,0,0,0,0,"-2,572","219,894","113,367","100,475",0,"1,967","4,085","219,894","11,188.00",0,"3,311.00",0,0,0,"14,499.00",O
2019,329,"Allamakee-Clayton El Coop, Inc",IA,Cooperative,MRO,31.7,28.1,148,"150,540",0,0,0,0,0,0,0,"150,688","133,395","9,020",0,504,"7,769","150,688","19,198.60",0,403.3,0,0,316.1,"19,918.00",O
2019,332,Allegheny Electric Coop Inc,PA,Cooperative,RFC,731.4,826.6,"2,187,604","1,529,706",0,"14,497","-14,497",0,0,0,0,"3,702,813",0,"3,649,153",0,0,"53,660","3,702,813",0,0,"170,728.00","1,700.00","2,600.00","6,577.00","181,605.00",O
2019,343,AEP Generating Company,OH,Investor Owned,RFC,"1,312.00","1,315.00","4,073,472",0,0,0,0,0,0,0,0,"4,073,472",0,"4,073,472",0,0,0,"4,073,472",0,0,"306,948.00",0,0,743,"307,691.00",O
