Release: EDGARv4.3.2 of September 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeseries 1970-2012 of GHG per GDP emissions by country in ton CO2eq / 1000USD GDP / year (GWP-100 of AR4).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reference: European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGARv4.3.2  (1970 - 2012), http://edgar.jrc.ec.europa.eu/overview.php?v=booklet2017&dst=GHGgdp, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Olivier, J.G.J., Peters, J.A.H.W., Schure, K.M., Fossil CO2 and GHG emissions of all world countries, EUR 28766 EN,Publications Office of the European Union, Luxembourg, 2017, ISBN 978-92-79-73207-2, doi:10.2760/709792, JRC107877 and Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Dentener, F., Bergamaschi, P., Pagliari, V., Olivier, J.G.J., Peters, J.A.H.W., van Aardenne, J.A., Monni, S., Doering, U., Petrescu, A.M.R. (2017) EDGARv4.3.2 Global Atlas of the three major Greenhouse Gas Emissions for the period 1970-2012, Earth Syst. Sci. Data Discuss., https://doi.org/10.5194/essd-2017-79, in review, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO_CODE,ISO_NAME,substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
BTN,Bhutan,CO2eq/GDP,3.610724,3.54127,3.093882,3.510162,3.438863,3.561985,3.09104,2.26186,2.827849,2.32084,2.72904,2.616137,2.341243,2.401114,2.20562,2.050853,1.914593,1.750005,1.392955,1.275036,1.284713,1.283545,1.175607,1.097712,1.216773,1.149793,1.130459,1.119819,1.037943,0.981226,0.720485,0.66677,0.611631,0.533325,0.562073,0.554674,0.53929,0.482437,0.458184,0.49321,0.463262,0.46966,0.450578
BOL,Bolivia,CO2eq/GDP,0.809851,0.970084,1.057108,0.926376,0.843605,0.840182,0.896919,0.797205,0.907126,0.826346,0.817469,0.812132,0.810842,0.920718,0.912576,0.946585,0.878404,0.934334,1.005163,1.095158,1.021726,1.02667,1.086886,1.271243,1.214219,0.935623,0.887579,0.930309,0.819455,0.800928,0.779431,0.751558,0.771405,0.798521,0.82064,0.818103,0.806045,0.80345,0.792028,0.785329,0.800632,0.800905,0.792058
BIH,Bosnia and Herzegovina,CO2eq/GDP,2.851435,2.77192,2.52962,2.658686,2.478674,2.537009,2.233709,2.208416,1.986338,1.864306,1.796377,2.000536,2.171011,2.338796,2.285623,2.365034,2.301528,2.24429,2.245695,2.266414,4.104634,5.251769,4.382515,3.42961,1.019315,0.837326,0.492264,0.655331,0.699634,0.637144,0.748114,0.707567,0.705861,0.702303,0.698389,0.673842,0.70607,0.695481,0.720005,0.74018,0.751228,0.827216,0.818235
BWA,Botswana,CO2eq/GDP,3.944133,3.547178,3.185669,2.640699,2.336701,2.316639,2.511363,2.403445,2.046405,1.818846,1.529772,1.615131,1.508232,1.248449,1.087118,0.99109,0.947681,0.879146,0.859991,0.752994,0.799071,0.672827,0.676412,0.630351,0.632032,0.661379,0.564074,0.539067,0.591769,0.56341,0.569658,0.537744,0.474046,0.443595,0.439204,0.442858,0.410394,0.37465,0.361967,0.394386,0.411663,0.365722,0.360535
BRA,Brazil,CO2eq/GDP,0.685869,0.611216,0.577753,0.547379,0.513326,0.491507,0.513556,0.489303,0.490198,0.492439,0.484034,0.434213,0.459237,0.453313,0.488651,0.472583,0.460124,0.438491,0.429965,0.438276,0.419429,0.429485,0.443189,0.438164,0.433451,0.434645,0.430716,0.430829,0.436216,0.442036,0.44017,0.441899,0.43889,0.44961,0.442178,0.433678,0.419249,0.398404,0.391855,0.381827,0.379558,0.37402,0.369961
BRN,Brunei,CO2eq/GDP,3.823394,3.15964,3.548838,3.367088,2.401669,1.816416,1.616929,1.335836,1.53673,1.005717,0.859494,0.385465,0.533063,0.550516,0.278874,0.274255,0.264986,0.377343,0.353111,0.355946,0.364957,0.411718,0.404367,0.388766,0.397793,0.400697,0.398434,0.429377,0.396231,0.392987,0.402495,0.404507,0.374184,0.410607,0.380719,0.370776,0.470394,0.449793,0.520101,0.494814,0.447892,0.446092,0.42975
BGR,Bulgaria,CO2eq/GDP,3.218837,3.021246,2.928939,2.76188,2.596987,2.549606,2.338349,2.274887,2.246793,2.197042,2.103063,1.927356,1.865717,1.772554,1.689153,1.644115,1.629755,1.547462,1.469688,1.412131,1.306425,1.171749,1.185496,1.189275,1.110298,1.053331,1.053124,0.997741,0.905819,0.874596,0.831493,0.820842,0.73525,0.770883,0.708198,0.668761,0.636018,0.625575,0.56624,0.514418,0.535402,0.574063,0.56879
BFA,Burkina Faso,CO2eq/GDP,2.002567,2.060292,2.013982,1.616033,1.725038,1.627268,1.676551,1.712954,1.623751,1.546222,1.509917,1.511969,1.518882,1.534034,1.59814,1.738397,1.612733,1.554686,1.605709,1.554163,1.523387,1.464495,1.518234,1.523767,1.577435,1.545755,1.444794,1.449806,1.381698,1.285608,1.150612,1.124817,1.080858,1.211395,1.216653,1.172295,1.146001,1.13693,1.122409,1.113044,1.068183,1.028117,0.986422
BDI,Burundi,CO2eq/GDP,1.013515,0.824351,0.825309,0.929706,0.854383,0.891122,0.90165,0.811987,0.701183,0.731434,0.660315,0.660473,0.605812,0.619582,0.603561,0.607909,0.581629,0.578767,0.568642,0.546739,0.513652,0.510392,0.519378,0.564531,0.585949,0.631334,0.686232,0.720961,0.686642,0.631411,0.63231,0.733256,0.728667,0.768587,0.794151,0.812181,0.804044,0.798486,0.795234,0.793839,0.814012,0.820392,0.81804
CPV,Cape Verde,CO2eq/GDP,0.474945,0.41643,0.413819,0.410244,0.401489,0.402648,0.573941,0.581872,0.656572,0.692742,0.668454,0.648475,0.407165,0.378694,0.376873,0.378364,0.299239,0.34081,0.363917,0.35359,0.340001,0.355662,0.356061,0.32927,0.258832,0.25441,0.207532,0.203051,0.189375,0.176499,0.16948,0.163319,0.157566,0.154885,0.149916,0.1488,0.142631,0.132163,0.131277,0.135774,0.13849,0.135765,0.136489
