Release: EDGARv4.3.2 of September 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeseries 1970-2012 of GHG per capita emissions by country in ton CO2eq / capita / year (GWP-100 of AR4).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reference: European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGARv4.3.2  (1970 - 2012), http://edgar.jrc.ec.europa.eu/overview.php?v=booklet2017&dst=GHGpc, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Olivier, J.G.J., Peters, J.A.H.W., Schure, K.M., Fossil CO2 and GHG emissions of all world countries, EUR 28766 EN,Publications Office of the European Union, Luxembourg, 2017, ISBN 978-92-79-73207-2, doi:10.2760/709792, JRC107877 and Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Dentener, F., Bergamaschi, P., Pagliari, V., Olivier, J.G.J., Peters, J.A.H.W., van Aardenne, J.A., Monni, S., Doering, U., Petrescu, A.M.R. (2017) EDGARv4.3.2 Global Atlas of the three major Greenhouse Gas Emissions for the period 1970-2012, Earth Syst. Sci. Data Discuss., https://doi.org/10.5194/essd-2017-79, in review, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO_CODE,ISO_NAME,substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
BTN,Bhutan,CO2eq/cap,4.282493,4.170639,3.57505,3.986022,3.968018,3.855464,3.541605,2.682109,3.509471,2.961612,3.377787,3.307003,3.280056,3.551084,3.409266,3.313407,3.121656,2.972328,2.754228,2.829117,2.987308,2.971637,2.878169,2.785927,3.281131,3.331153,3.43004,3.514455,3.365097,3.339299,2.549957,2.483641,2.452859,2.239474,2.433879,2.507978,2.545206,2.627059,2.562415,2.888192,2.974199,3.199384,3.168304
BOL,Bolivia,CO2eq/cap,3.115538,3.945109,4.542898,4.131091,3.776958,3.956297,4.325073,3.943823,4.492698,4.001245,3.825763,3.742743,3.657298,3.90385,3.642439,3.696915,3.310001,3.353693,3.629638,3.991093,3.789256,3.928771,4.145452,4.957207,4.853539,3.844084,3.727447,4.024692,3.644439,3.516088,3.442841,3.311288,3.424361,3.571385,3.756949,3.83593,3.896366,3.997973,4.111228,4.140814,4.331738,4.486887,4.595651
BIH,Bosnia and Herzegovina,CO2eq/cap,5.285407,5.243167,4.8948,5.211066,5.52319,5.623136,5.180657,5.490681,5.334676,5.216731,5.102894,5.70083,6.1701,6.508269,6.40605,6.53638,6.516652,6.224552,6.038143,6.119763,6.814882,6.267854,5.000108,4.449312,1.484478,1.515449,1.709311,3.078544,3.806278,3.776944,4.694694,4.631683,4.843242,5.02015,5.279619,5.536758,6.134047,6.398285,7.002092,7.027626,7.213141,8.095,8.036861
BWA,Botswana,CO2eq/cap,4.79726,4.812163,5.340811,5.368377,5.649023,6.020083,6.989501,7.275818,6.747147,6.480577,5.94088,6.771841,6.596818,6.107693,5.714147,5.367762,5.350486,5.234238,5.720222,5.994946,6.476766,5.69755,5.736322,5.308479,5.379664,5.885322,5.199668,5.263552,5.700393,5.846258,5.927809,5.525736,5.093508,4.922038,4.933467,5.125883,5.072586,4.939971,4.985686,4.930435,5.48757,5.083833,5.137207
BRA,Brazil,CO2eq/cap,3.65209,3.601051,3.732411,3.865835,4.01579,4.089064,4.354013,4.407572,4.417561,4.504985,4.628987,4.440486,4.38302,4.243036,4.329236,4.319893,4.444624,4.459937,4.451417,4.457688,4.330676,4.415012,4.458697,4.543406,4.661363,4.79402,4.787931,4.869605,4.871153,4.888492,4.988299,5.021468,5.077996,5.189564,5.328931,5.331489,5.29996,5.290833,5.407397,5.217198,5.518263,5.600095,5.58822
BRN,Brunei,CO2eq/cap,350.0306,302.6065,356.0883,361.4686,265.613,213.7297,191.9672,170.5073,202.3625,132.6591,134.3281,56.67368,72.88175,70.45901,34.11856,32.2609,28.22909,28.57325,28.11741,27.43728,27.9013,31.55631,31.58155,29.58862,30.41523,31.19043,31.10944,32.28739,28.94601,28.91639,29.84391,30.19392,28.43576,31.53587,28.88765,27.80849,36.3199,34.35126,38.51121,35.55155,32.62568,33.12713,31.7517
BGR,Bulgaria,CO2eq/cap,10.56181,10.53343,10.84424,10.96779,11.1174,11.79353,11.88664,12.20512,12.63747,13.05274,13.40995,12.96331,13.17437,13.0072,12.7466,12.96531,13.08617,13.10237,13.05917,12.91038,11.96941,9.901904,9.384581,9.393792,9.031529,8.914537,9.144654,8.658015,8.20948,7.544057,7.603958,7.885559,7.545889,8.383763,8.269303,8.445838,8.630145,9.2116,8.879222,7.784371,8.161928,8.949028,8.943298
BFA,Burkina Faso,CO2eq/cap,1.210946,1.194604,1.135258,1.061213,1.0642,1.082441,1.082016,1.084301,1.102452,1.130206,1.135817,1.157148,1.164092,1.162958,1.165969,1.256406,1.263403,1.282025,1.286045,1.282987,1.250296,1.2769,1.292274,1.305876,1.332432,1.342252,1.355283,1.406578,1.398766,1.358377,1.202963,1.218453,1.188173,1.393265,1.424066,1.440279,1.453713,1.477268,1.524043,1.509302,1.521128,1.511435,1.501416
BDI,Burundi,CO2eq/cap,0.732333,0.719904,0.739134,0.750689,0.743496,0.763719,0.751756,0.746707,0.736215,0.744636,0.678496,0.616239,0.61809,0.609692,0.600134,0.587158,0.610657,0.608092,0.612381,0.601283,0.558794,0.569009,0.572403,0.572159,0.562768,0.548386,0.541207,0.554259,0.545241,0.489436,0.476203,0.551229,0.556755,0.561484,0.589033,0.588382,0.593626,0.59671,0.603933,0.604017,0.621847,0.633032,0.636388
CPV,Cape Verde,CO2eq/cap,0.487356,0.478055,0.499009,0.507028,0.505676,0.519134,0.612268,0.626863,0.66727,0.761025,0.759549,0.761577,0.508241,0.476571,0.509332,0.52106,0.44016,0.508475,0.558197,0.564284,0.562264,0.583492,0.630635,0.617307,0.563734,0.615577,0.54569,0.580692,0.595938,0.605292,0.650671,0.627135,0.626237,0.628875,0.660172,0.690133,0.705929,0.744376,0.779607,0.787525,0.807656,0.814334,0.817092
