(Thousands of Dollars),United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Assistance and subsidies,"52,514,668","1,011,055","154,935","1,143,256","490,659","6,019,677","932,403","514,610","390,149","2,738,024","1,428,183","118,591","182,093","1,377,327","1,468,724","627,499","219,779","1,190,641","742,337","181,438","1,521,703","1,084,666","1,656,964","1,274,320","427,358","580,811","96,855","238,723","624,857","257,253","1,386,851","253,452","2,212,225","1,524,740","130,546","1,962,120","643,130","544,147","2,806,196","176,036","1,327,314","138,639","1,469,162","3,783,241","840,620","184,356","1,324,583","1,625,523","338,479","1,104,301","44,117"
Interest on debt,"48,273,301","384,485","203,120","503,604","163,022","6,223,541","845,608","1,549,443","231,699","805,493","577,975","106,596","164,116","4,344,299","1,099,475","224,434","150,666","568,351","799,538","122,072","1,792,695","3,055,001","1,752,635","611,785","311,206","755,644","118,318","59,570","146,431","316,247","2,504,072","390,493","5,902,307","662,960","106,630","1,046,721","506,046","339,641","1,685,741","416,916","596,023","132,225","366,979","1,842,390","223,666","64,825","1,168,539","1,555,678","248,129","499,924","26,327"
Exhibit: Salaries and wages,"290,932,884","5,361,971","1,741,130","4,261,465","3,179,883","39,309,541","6,065,370","4,517,896","1,558,959","9,897,135","7,034,386","3,447,319","1,586,771","8,765,150","4,978,139","3,576,746","3,083,484","4,373,545","4,228,595","1,116,056","5,531,006","7,978,712","10,561,715","5,993,420","2,764,231","4,060,500","1,199,562","1,867,075","1,969,234","1,195,088","10,618,142","2,671,021","19,157,108","8,738,058","1,078,843","8,472,911","3,373,939","5,104,358","10,945,713","1,393,857","4,326,663","764,845","4,408,106","19,664,366","3,972,535","972,857","7,807,941","9,140,892","1,953,794","4,477,146","685,705"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure,"2,500,627,121","34,420,325","11,525,057","42,191,355","23,340,186","395,722,730","37,744,701","28,768,919","10,569,602","103,091,862","53,358,128","14,246,298","11,152,978","90,637,346","43,294,469","24,468,184","20,623,250","35,324,395","36,087,759","9,719,601","48,598,727","69,274,063","80,474,939","50,944,993","22,361,490","35,295,498","8,033,903","11,149,997","17,769,897","9,050,114","80,668,031","22,156,771","218,317,054","64,503,622","7,721,630","89,326,118","25,351,517","41,519,679","108,643,120","9,840,595","34,572,637","5,342,988","35,197,915","163,424,749","22,450,665","6,955,406","59,317,111","61,042,252","15,175,198","43,699,468","6,159,829"
General expenditure,"2,154,099,035","30,621,284","9,977,079","37,843,032","21,189,506","337,836,399","32,011,489","23,222,593","9,638,718","92,058,323","46,185,762","12,617,105","9,769,539","74,752,311","40,597,226","21,468,598","18,716,162","30,515,806","31,365,020","8,470,777","42,271,153","58,584,003","71,242,329","44,756,565","19,209,166","30,465,170","6,818,169","10,396,042","14,808,711","7,644,196","63,183,933","19,688,051","178,181,029","58,035,013","7,036,658","71,377,803","21,988,795","35,070,708","94,506,546","8,409,296","29,308,909","4,744,006","32,365,809","145,442,206","20,307,204","6,451,859","53,170,303","53,312,108","13,467,261","37,773,949","5,225,356"
Intergovernmental expenditure,"582,902,323","7,603,784","1,805,758","10,584,099","5,506,995","115,184,907","8,175,377","5,982,373","1,709,844","19,186,392","13,399,351","328,597","2,708,320","21,931,820","10,484,135","5,392,612","5,252,484","4,922,217","6,491,823","1,447,848","9,548,598","9,908,172","23,597,434","14,965,157","5,175,676","6,380,912","1,152,003","2,664,511","4,924,555","1,764,664","15,644,410","5,350,837","63,293,562","15,910,667","2,265,225","18,810,597","4,611,015","6,607,674","22,759,591","1,374,263","6,293,856","905,622","7,784,382","32,071,780","4,235,015","1,868,398","12,751,128","16,832,903","2,420,689","11,609,814","1,320,477"
Direct expenditure,"1,571,196,712","23,017,500","8,171,321","27,258,933","15,682,511","222,651,492","23,836,112","17,240,220","7,928,874","72,871,931","32,786,411","12,288,508","7,061,219","52,820,491","30,113,091","16,075,986","13,463,678","25,593,589","24,873,197","7,022,929","32,722,555","48,675,831","47,644,895","29,791,408","14,033,490","24,084,258","5,666,166","7,731,531","9,884,156","5,879,532","47,539,523","14,337,214","114,887,467","42,124,346","4,771,433","52,567,206","17,377,780","28,463,034","71,746,955","7,035,033","23,015,053","3,838,384","24,581,427","113,370,426","16,072,189","4,583,461","40,419,175","36,479,205","11,046,572","26,164,135","3,904,879"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"General expenditure, by function:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,"732,047,478","12,596,861","2,505,580","13,133,885","8,076,478","111,655,986","12,723,219","7,473,560","3,606,269","30,050,827","20,917,587","3,790,399","3,510,731","18,465,502","16,204,219","7,422,453","7,687,475","9,987,635","9,771,114","2,256,454","13,438,664","13,405,242","27,642,874","16,238,777","5,906,131","10,156,760","1,917,262","3,898,084","5,628,644","2,304,994","22,685,415","6,298,980","48,595,418","22,857,591","2,449,865","22,856,498","8,227,215","10,884,873","28,344,224","2,218,674","11,489,690","1,626,767","10,992,242","58,083,035","9,108,339","2,822,685","18,236,521","22,661,025","4,216,362","13,063,265","1,955,128"
