number,nationwide_number,name,sex,year_of_birth,nationality,Military,selection,year_of_selection,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,eva_hrs_mission,total_eva_hrs
326,208,"Grunsfeld, John M.",male,1958,U.S.,FALSE,NASA Astronaut Group 17,1992,5,MSP,2002,STS-109,STS-109,STS-109,STS-109,262,1405,21.15,59.5
326,208,"Grunsfeld, John M.",male,1958,U.S.,FALSE,NASA Astronaut Group 18,1992,5,MSP,2009,STS-125,STS-125,STS-125,STS-125,309,1405,20.97,59.5
327,209,"Lawrence, Wendy B.",female,1959,U.S.,TRUE,NASA- 14,1992,4,MSP,1995,STS-67,STS-67,STS-67,STS-67,399,1226,0,0
327,209,"Lawrence, Wendy B.",female,1959,U.S.,TRUE,NASA- 14,1992,4,MSP,1997,STS-86,STS-86,STS-86,STS-86,259,1226,0,0
327,209,"Lawrence, Wendy B.",female,1959,U.S.,TRUE,NASA- 14,1992,4,MSP,1998,STS-91,STS-91,STS-91,STS-91,235,1226,0,0
327,209,"Lawrence, Wendy B.",female,1959,U.S.,TRUE,NASA- 14,1992,4,MSP,2005,STS-114,STS-114,STS-114,STS-114,333,1226,0,0
328,81,"Dezhurov, Vladimir N.",male,1962,U.S.S.R/Russia,TRUE,TsPK-8,1987,2,commander,1995,18,Soyuz TM­21,Mir,STS­71,2768,5861.47,18.18,36.87
328,81,"Dezhurov, Vladimir N.",male,1962,U.S.S.R/Russia,TRUE,TsPK-8,1987,2,commander,2001,3,STS-105,ISS,STS-108,3092,5861.47,18.67,36.87
329,82,"Budarin, Nikolai",male,1953,U.S.S.R/Russia,FALSE,NPOE-9,1989,3,flight engineer,1995,19,STS­71,Mir,Soyuz TM­21,1811,10657.42,14.53,46.02
329,82,"Budarin, Nikolai",male,1953,U.S.S.R/Russia,FALSE,NPOE-9,1989,3,flight engineer,1998,25,Soyuz TM­27,Mir,Soyuz TM­27,4980,10657.42,31.48,46.02
329,82,"Budarin, Nikolai",male,1953,U.S.S.R/Russia,FALSE,NPOE-9,1989,3,flight engineer,2002,6,STS­113,ISS,Soyuz TMA­1,3865,10657.42,0,46.02
330,210,Kregel Kevin R.,male,1956,U.S.,FALSE,NASA- 14,1992,4,pilot,1995,STS-70,STS-70,STS-70,STS-70,214,1266.35,0,0
