"Location.County","Location.State","Location.State Abbreviation","Vote Data.Ben Carson.Number of Votes","Vote Data.Ben Carson.Party","Vote Data.Ben Carson.Percent of Votes","Vote Data.Bernie Sanders.Number of Votes","Vote Data.Bernie Sanders.Party","Vote Data.Bernie Sanders.Percent of Votes","Vote Data.Carly Fiorina.Number of Votes","Vote Data.Carly Fiorina.Party","Vote Data.Carly Fiorina.Percent of Votes","Vote Data.Chris Christie.Number of Votes","Vote Data.Chris Christie.Party","Vote Data.Chris Christie.Percent of Votes","Vote Data.Donald Trump.Number of Votes","Vote Data.Donald Trump.Party","Vote Data.Donald Trump.Percent of Votes","Vote Data.Hillary Clinton.Number of Votes","Vote Data.Hillary Clinton.Party","Vote Data.Hillary Clinton.Percent of Votes","Vote Data.Jeb Bush.Number of Votes","Vote Data.Jeb Bush.Party","Vote Data.Jeb Bush.Percent of Votes","Vote Data.John Kasich.Number of Votes","Vote Data.John Kasich.Party","Vote Data.John Kasich.Percent of Votes","Vote Data.Marco Rubio.Number of Votes","Vote Data.Marco Rubio.Party","Vote Data.Marco Rubio.Percent of Votes","Vote Data.Martin O'Malley.Number of Votes","Vote Data.Martin O'Malley.Party","Vote Data.Martin O'Malley.Percent of Votes","Vote Data.Mike Huckabee.Number of Votes","Vote Data.Mike Huckabee.Party","Vote Data.Mike Huckabee.Percent of Votes","Vote Data.No Preference.Number of Votes","Vote Data.No Preference.Party","Vote Data.No Preference.Percent of Votes","Vote Data.Rand Paul.Number of Votes","Vote Data.Rand Paul.Party","Vote Data.Rand Paul.Percent of Votes","Vote Data.Rick Santorum.Number of Votes","Vote Data.Rick Santorum.Party","Vote Data.Rick Santorum.Percent of Votes","Vote Data.Ted Cruz.Number of Votes","Vote Data.Ted Cruz.Party","Vote Data.Ted Cruz.Percent of Votes","Vote Data.Uncommitted.Number of Votes","Vote Data.Uncommitted.Party","Vote Data.Uncommitted.Percent of Votes"
"Greene","Tennessee","TN","860","Republican","7.8","892","Democrat","44.2","0","Republican","0.0","0","Republican","0.0","5016","Republican","45.4","1079","Democrat","53.400000000000006","0","Republican","0.0","442","Republican","4.0","1845","Republican","16.7","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","2569","Republican","23.200000000000003","0","N/A","0.0"
"Greene","Virginia","VA","220","Republican","7.400000000000001","603","Democrat","50.8","0","Republican","0.0","0","Republican","0.0","1057","Republican","35.6","579","Democrat","48.699999999999996","0","Republican","0.0","204","Republican","6.9","747","Republican","25.2","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","704","Republican","23.7","0","N/A","0.0"
"Greenfield","Massachusetts","MA","53","Republican","4.6","3003","Democrat","72.2","0","Republican","0.0","0","Republican","0.0","438","Republican","37.6","1142","Democrat","27.500000000000004","0","Republican","0.0","278","Republican","23.9","221","Republican","19.0","0","Democrat","0.0","0","Republican","0.0","4","N/A","0.1","0","Republican","0.0","0","Republican","0.0","136","Republican","11.700000000000001","0","N/A","0.0"
"Greenlee","Arizona","AZ","0","Republican","0.0","325","Democrat","35.7","0","Republican","0.0","0","Republican","0.0","282","Republican","44.800000000000004","497","Democrat","54.6","0","Republican","0.0","24","Republican","3.8","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","237","Republican","37.7","0","N/A","0.0"
"Greensboro","Vermont","VT","6","Republican","9.2","143","Democrat","82.2","0","Republican","0.0","0","Republican","0.0","17","Republican","26.200000000000003","31","Democrat","17.8","0","Republican","0.0","27","Republican","41.5","12","Republican","18.5","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","1","Republican","1.5","0","N/A","0.0"
"Greensville","Virginia","VA","44","Republican","6.3","113","Democrat","11.899999999999999","0","Republican","0.0","0","Republican","0.0","371","Republican","53.400000000000006","832","Democrat","87.7","0","Republican","0.0","23","Republican","3.3000000000000003","160","Republican","23.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","91","Republican","13.100000000000001","0","N/A","0.0"
"Greenup","Kentucky","KY","0","Republican","0.0","1655","Democrat","47.699999999999996","0","Republican","0.0","0","Republican","0.0","548","Republican","36.8","1517","Democrat","43.8","0","Republican","0.0","245","Republican","16.4","131","Republican","8.8","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","550","Republican","36.9","0","N/A","0.0"
"Greenville","Maine","ME","0","Republican","0.0","2","Democrat","50.0","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","2","Democrat","50.0","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","0","N/A","0.0"
"Greenville","South Carolina","SC","8036","Republican","8.6","10965","Democrat","35.5","0","Republican","0.0","0","Republican","0.0","24913","Republican","26.8","19807","Democrat","64.1","6548","Republican","7.000000000000001","7683","Republican","8.3","22875","Republican","24.6","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","22899","Republican","24.6","0","N/A","0.0"
"Greenwich","Connecticut","CT","0","Republican","0.0","1443","Democrat","30.599999999999998","0","Republican","0.0","0","Republican","0.0","3007","Republican","48.1","3206","Democrat","68.1","0","Republican","0.0","2591","Republican","41.4","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","552","Republican","8.8","0","N/A","0.0"
"Greenwood","Maine","ME","0","Republican","0.0","1","Democrat","50.0","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","1","Democrat","50.0","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","0","N/A","0.0"
"Greenwood","South Carolina","SC","989","Republican","9.4","983","Democrat","21.2","0","Republican","0.0","0","Republican","0.0","3029","Republican","28.800000000000004","3588","Democrat","77.4","866","Republican","8.2","697","Republican","6.6000000000000005","2543","Republican","24.099999999999998","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","2408","Republican","22.900000000000002","0","N/A","0.0"
"Greer","Oklahoma","OK","21","Republican","7.200000000000001","332","Democrat","55.8","0","Republican","0.0","0","Republican","0.0","111","Republican","37.9","164","Democrat","27.6","0","Republican","0.0","8","Republican","2.7","57","Republican","19.5","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","91","Republican","31.1","0","N/A","0.0"
"Gregg","Texas","TX","900","Republican","4.9","906","Democrat","20.7","0","Republican","0.0","0","Republican","0.0","4703","Republican","25.7","3411","Democrat","78.1","0","Republican","0.0","735","Republican","4.0","2771","Republican","15.2","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","8363","Republican","45.7","0","N/A","0.0"
"Gregory","South Dakota","SD","0","Republican","0.0","164","Democrat","47.8","0","Republican","0.0","0","Republican","0.0","341","Republican","77.1","179","Democrat","52.2","0","Republican","0.0","41","Republican","9.3","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","60","Republican","13.600000000000001","0","N/A","0.0"
"Grenada","Mississippi","MS","0","Republican","0.0","245","Democrat","12.9","0","Republican","0.0","0","Republican","0.0","1727","Republican","55.60000000000001","1634","Democrat","86.0","0","Republican","0.0","214","Republican","6.9","129","Republican","4.2","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","960","Republican","30.9","0","N/A","0.0"
"Grimes","Texas","TX","155","Republican","3.5000000000000004","201","Democrat","25.2","0","Republican","0.0","0","Republican","0.0","1404","Republican","31.7","583","Democrat","73.1","0","Republican","0.0","85","Republican","1.9","432","Republican","9.8","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","2207","Republican","49.8","0","N/A","0.0"
"Griswold","Connecticut","CT","0","Republican","0.0","549","Democrat","60.099999999999994","0","Republican","0.0","0","Republican","0.0","501","Republican","68.1","326","Democrat","35.7","0","Republican","0.0","132","Republican","17.9","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","81","Republican","11.0","0","N/A","0.0"
"Groton","Connecticut","CT","0","Republican","0.0","1536","Democrat","52.900000000000006","0","Republican","0.0","0","Republican","0.0","991","Republican","54.1","1332","Democrat","45.9","0","Republican","0.0","561","Republican","30.599999999999998","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","226","Republican","12.3","0","N/A","0.0"
"Groton","Massachusetts","MA","40","Republican","2.4","1294","Democrat","55.8","0","Republican","0.0","0","Republican","0.0","610","Republican","36.3","1013","Democrat","43.70000000000001","0","Republican","0.0","404","Republican","24.0","401","Republican","23.799999999999997","0","Democrat","0.0","0","Republican","0.0","7","N/A","0.3","0","Republican","0.0","0","Republican","0.0","168","Republican","10.0","0","N/A","0.0"
"Groton","Vermont","VT","9","Republican","5.8999999999999995","145","Democrat","88.4","0","Republican","0.0","0","Republican","0.0","47","Republican","30.7","18","Democrat","11.0","0","Republican","0.0","37","Republican","24.2","26","Republican","17.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","22","Republican","14.400000000000002","0","N/A","0.0"
"Groveland","Massachusetts","MA","34","Republican","2.8000000000000003","715","Democrat","60.3","0","Republican","0.0","0","Republican","0.0","677","Republican","55.60000000000001","459","Democrat","38.7","0","Republican","0.0","191","Republican","15.7","158","Republican","13.0","0","Democrat","0.0","0","Republican","0.0","5","N/A","0.4","0","Republican","0.0","0","Republican","0.0","134","Republican","11.0","0","N/A","0.0"
"Grundy","Iowa","IA","73","Republican","7.7","206","Democrat","51.800000000000004","10","Republican","1.0999999999999999","12","Republican","1.3","198","Republican","20.9","186","Democrat","46.7","26","Republican","2.7","4","Republican","0.4","261","Republican","27.6","6","Democrat","1.5","50","Republican","5.3","0","N/A","0.0","32","Republican","3.4000000000000004","8","Republican","0.8","272","Republican","28.800000000000004","0","N/A","0.0"
"Grundy","Illinois","IL","0","Republican","0.0","3095","Democrat","59.599999999999994","0","Republican","0.0","0","Republican","0.0","3625","Republican","46.9","2051","Democrat","39.5","0","Republican","0.0","1144","Republican","14.800000000000002","615","Republican","8.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","2108","Republican","27.3","0","N/A","0.0"
"Grundy","Missouri","MO","0","Republican","0.0","262","Democrat","53.400000000000006","0","Republican","0.0","0","Republican","0.0","978","Republican","50.1","219","Democrat","44.6","0","Republican","0.0","163","Republican","8.4","79","Republican","4.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","673","Republican","34.5","0","N/A","0.0"
"Grundy","Tennessee","TN","141","Republican","8.6","204","Democrat","29.7","0","Republican","0.0","0","Republican","0.0","912","Republican","55.8","445","Democrat","64.8","0","Republican","0.0","30","Republican","1.8000000000000003","133","Republican","8.1","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","382","Republican","23.400000000000002","0","N/A","0.0"
