year,brand,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count,published_at,title,category_id
2013,Doritos,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,576696,2541,94,150,2013-02-03T23:48:43Z,2013 SuperBowl XLVII Doritos Goat 4 Sale Commercial,22
2013,Budweiser,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1171,5,2,0,2013-02-05T09:16:01Z,"Budweiser Black Crown ""Coronation"" - 2013 Super Bowl Commercial",24
2007,Doritos,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1683994,2508,861,160,2007-01-27T01:33:06Z,Live the Flavor,24
2009,Budweiser,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,49339,67,2,8,2009-02-02T01:25:17Z,Budweiser - Fetch Super Bowl XLIII Commercial 209,23
2012,E-Trade,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,0,0,0,2013-03-05T14:11:47Z,Etrade (2012) Fatherhood,23
2019,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,36683,65,117,32,2019-02-04T02:23:36Z,Ad Meter 2019: Bud Light Medieval Barbers,25
2017,Kia,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,87687,589,22,32,2017-02-01T18:25:49Z,2017 Kia Niro  “Hero’s Journey” Starring Melissa McCarthy,22
2007,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,177497,392,9,28,2007-02-05T06:41:17Z,Super Bowl XLI BudLight Hitch Hiker Commercial,23
2011,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,350,1,1,0,2020-01-30T02:23:47Z,Bud Light - Dog Sitter - Super Bowl Commercial,23
2016,Pepsi,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,40818,320,19,13,2016-08-09T14:14:01Z,"Greatest SuperBowl Ads, Pepsi Cola Ad",22
2009,Hynudai,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,373684,585,178,118,2009-01-30T01:39:07Z,Bosses,2
2011,Coca-Cola,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,87396,53,2,2,2011-02-05T09:10:25Z,"Coca-Cola ""Siege"" Super Bowl ad",24
2016,Hynudai,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,11074,91,5,3,2016-02-03T14:18:51Z,Hyundai Super Bowl - Ryanville - All New Elantra,2
2009,Doritos,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41379,103,9,7,2009-07-03T19:48:51Z,Super Bowl XLIII Commercial Doritos Beer Ad Funny Exclusive New Flavor Pitch,24
2010,Doritos,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,219464,1136,28,94,2010-02-08T02:51:00Z,Dorito Ninja Super Bowl Commercial 2010,22
2015,Doritos,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2319854,2746,203,184,2014-11-07T15:32:10Z,Middle Seat - Doritos Crash the Super Bowl 2015 WINNER OFFICIAL,23
2007,Coca-Cola,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,249186,452,49,75,2007-02-05T02:28:10Z,"2007 Super Bowl Commercials - Coca Cola, Video Game",24
2019,Toyota,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6713,68,5,29,2019-02-04T03:40:33Z,2020 Toyota Supra 2019 Pinball Wizard themed Super Bowl advertisement,2
2002,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,38574,199,7,8,2016-01-27T21:22:23Z,Budweiser Commercial -- How you doin',27
2014,Coca-Cola,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3900,14,3,0,2014-02-03T02:29:16Z,"Coca Cola Super Bowl Commercial 2014 ""Going all the Way""",24
2004,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,327529,803,42,73,2006-09-19T20:49:24Z,Budweiser Commercial- Referee Training,23
2016,Coca-Cola,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,6428474,58957,2673,813,2017-05-07T14:37:08Z,Hulk vs. Ant-Man - Coca-Cola: Coke Mini,1
2015,Budweiser,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,7621,14,2,0,2015-09-10T19:36:03Z,Budweiser USA  #BestBuds   2015 Budweiser Clydesdale Beer Run,22
2016,Hynudai,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,156718,1243,24,57,2017-02-02T20:40:46Z,First Date – Hyundai Super Bowl 2016 Commercial  Kevin Hart,24
2001,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,60774,269,10,18,2012-02-14T10:39:19Z,Bud Light Funny Pencil Advertisement,23
2003,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3754,18,1,1,2010-07-08T06:50:31Z,Bud Light - Strongman,23
2000,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6641,7,1,1,2006-10-27T12:00:08Z,Bud Light-03 (elevator),23
2018,Coca-Cola,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
2001,Pepsi,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,788,4,2,0,2015-06-06T18:00:31Z,Pepsi 90's commercial - SUBWAY,24
2014,Doritos,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,10929,37,3,5,2014-12-15T22:32:28Z,2014 Doritos Cowboy Kid Super Bowl Commercial,24
2016,Budweiser,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,136,0,0,0,2016-02-08T18:22:21Z,Budweiser The Best Super Bowl 2016 Commercial  Ad,22
2004,Budweiser,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1939823,3744,108,279,2006-09-17T07:10:58Z,Budweiser Donkey,15
2015,Budweiser,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,79,0,0,0,2020-12-20T22:13:40Z,Budweiser Brewed The Hard Way Commercial,22
2016,Kia,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,14395,86,1,6,2017-11-04T17:09:58Z,Kia - Beige Socks (Christopher Walken) Super Bowl Commercial,24
2017,Budweiser,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,28785122,48423,17113,9190,2017-01-31T13:18:04Z,Budweiser 2017 Super Bowl Commercial | “Born The Hard Way”,24
2000,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA
2009,Coca-Cola,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,503550,1490,296,88,2009-08-31T17:49:57Z,Heist - Coca-Cola Commercial,24
2015,Doritos,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1274288,2031,149,201,2014-11-10T01:44:58Z,When Pigs Fly - Doritos Crash the Super Bowl 2015 WINNER OFFICAL,1
2004,Toyota,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,112297,640,9,52,2009-07-13T02:43:45Z,Toyota Tacoma Double Cab Girlfriend Commercial,24
2016,NFL,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,4921309,20690,2015,1828,2016-02-01T14:30:01Z,“Super Bowl Babies Choir” feat. Seal | Music Video,24
2017,Hynudai,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,907,8,0,1,2017-02-06T03:38:18Z,A Better Super Bowl | NFL Hyundai Super Bowl LI,1
2012,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,14579,42,1,0,2012-02-07T23:48:37Z,Bud Light - Rescue Dog,1
2008,Budweiser,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,110004,300,7,21,2008-02-04T22:15:37Z,Budweiser Clydesdale Team Commercial,17
2013,Hynudai,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,114478,1042,11,NA,2013-01-31T09:13:55Z,2013 Hyundai Santa Fe Big Game Ad : Team (Extended),2
2010,Doritos,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11608,22,0,3,2010-02-09T18:44:58Z,Doritos commercial :casket,23
2016,Bud Light,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,487,NA,NA,2,2016-02-21T11:00:18Z,"Super Bowl 50 - Bud Light: ""The Bud Light Party"" (2016)",24
2019,Toyota,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4873,32,14,5,2019-02-04T18:44:49Z,Toyota: RAV4 Hybrid featuring Toni Harris - 2019 Super Bowl Commercial,27
2009,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,54079,171,7,25,2009-10-12T04:39:17Z,2009 Super Bowl Ad Bud Light Office Meeting,23
2019,Budweiser,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA
