"Dimensions.Crest Elevation","Dimensions.Crest Length","Dimensions.Structural Height","Identity.Name","Identity.Watercourse","Location.County","Location.Latitude","Location.Longitude","Location.State","Identity.Project.Organization","Identity.Project.Year"
"2301.0","1075.0","72.0","Conconully Dam","Salmon Creek","Okanogan","48.5370932","-119.7486774","Washington","Okanogan","1910"
"217.0","1050.0","107.0","Contra Loma Dam","offstream storage","Contra Costa","37.9772","-121.8231","California","Central Valey","1966"
"46255.0","938.0","18.0","Corbett Diversion Dam","Shoshone River","Park","44.58953","-108.95428","Wyoming","Shoshone","1908"
"4455.0","285.0","36.0","Crane Prairie Dam","Deschutes River","Deschutes","43.755","-121.785","Oregon","Deschutes","1939"
"6578.0","580.0","162.0","Crawford Dam","Iron Creek","Delta","38.69073544820042","-107.6081657409668","Colorado","Smith Fork","1960"
"6772.0","620.0","323.0","Crystal Dam","Gunnison River","Montrose","38.453588708941375","-107.33505249023438","Colorado","Colorado River Storage","1972"
"2744.0","150.0","17.0","Culbertson Diversion Dam","Frenchman","Hayes","40.36186","-101.10267","Nebraska","PSMBP-Frenchman-Cambridge","1959"
"7692.0","1600.0","164.0","Currant Creek Dam","Currant Creek","Wasatch","40.33215123550075","-111.05186462402344","Utah","CUP - Bonneville Unit","1974"
"2094.0","2900.0","153.0","Davis Creek Dam","Tributary to Davis Creek","Sherman","41.41568","-98.74793","Nebraska","PSMBP-North Loup","19"
"655.0","1600.0","200.0","Davis Dam","Colorado River","Mohave (AZ), Clark (NV)","35.1967","-114.5683","Arizona and Nevada","Parker-Davis","1942"
"5340.0","749.0","165.0","Deadwood Dam","Deadwood River","Valley","44.2932322","-115.6459458","Idaho","Boise","1929"
"4309.0","13000.0","14.0","Deaver Dam","Offstream","Park","44.901","-108.63707","Wyoming","Shoshone","1918"
"5425.0","1304.0","235.0","Deer Creek Dam","Provo River","Wasatch","40.406667","-111.527","Utah","Provo River","1938"
"2536.0","3806.0","132.17","Deer Flat East Dike Dam","Offstream Storage","Valley","43.515568","-116.589317","Idaho","Boise","1906"
"2539.0","7270.0","49.0","Deer Flat Lower Embankment","Offstream Storage","Canyon","43.58247","-116.73703","Idaho","Boise","1906"
"2536.0","750.0","26.0","Deer Flat Middle Embankment","Offstream Storage","Canyon","43.595746","-116.7178916","Idaho","Boise","1906"
"2538.4","4164.0","73.0","Deer Flat Upper Embankment","Offstream Storage","Canyon","43.56007","-116.6543","Idaho","Boise","1906"
"5958.0","1125.0","171.0","Deerfield Dam","Castle Creek","Pennington","44.03","-103.7867","South Dakota","Rapid Valley","1942"
"4219.16","1331.0","31.0","Derby Diversion Dam","Truckee Rier","Storey, Washoe","36.27807901986153","-97.50189279297881","Nevada","Newlands","1905"
"2436.6","2275.0","62.0","Dickinson Dam","Heart River","Stark","46.8697","-102.8269","North Dakota","PSMBP-Dickinson","1950"
"5500.0","90.0","35.0","Dille Diversion Dam","Big Thompson River","Larimer","40.4041","-105.14096","Colorado","Colorado-Big Thompson","1950"
"5443.0","1840.0","155.0","Dixon Canyon Dam","Offstream Storage","Larimer","40.5533","-105.14","Colorado","Colorado-Big Thompson","1946"
"2280.0","8154.0","26.0","Dodson Diversion Dam","Milk River","Phillips","48.4121","-108.3077","Montana","Milk River","1910"
"4141.1","2784.18","132.17","Dressler Diversion Dam","Unknown","Unknown","36.27807901986153","-97.50189279297881","Nevada","Washoe","0"
"5619.5","36.0","13.0","Dry Creek Diversion Dam","Dry Creek","Delta","36.27807901986153","-97.50189279297881","Colorado","Fruitgrowers","1940"
"1580.0","9800.0","123.0","Dry Falls Dam","Offstream Storage","Grant","47.622595","-119.31787","Washington","Columbia Basin","1946"
"3996.0","255.0","14.5","Dry Spotted Tail Diversion Dam","Dry Spotted Tail Creek","Scotts Bluff","41.93825","-103.92492","Nebraska","North Platte","1954"
"3873.3","2784.18","12.6","Dunlap Diversion Dam","Niobrara","Dawes","42.46225","-102.92388","Nebraska","Mirage Flats","1945"
"5715.0","436.0","259.8","East Canyon Dam","East Canyon Creek","Morgan","40.920533533014265","-111.60085916519165","Utah","Weber Basin","1964"
"1198.68","266.0","139.0","East Park Dam","Little Stony Creek","Colusa","39.3567","-122.515","California","Orland","1908"
"8265.0","245.0","76.0","East Portal Diversion Dam","Wind River","Larimer","40.32788","-105.57857","Colorado","Colorado-Big Thompson","1947"
"2184.5","248.0","66.0","Easton Diversion Dam","Yakima River","Kittitas","47.24154","-121.1880397","Washington","Yakima","1928"
"5570.0","1887.0","158.0","Echo Dam","Weber Basin","Unknown","40.96486345371011","-111.4319658279419","Utah","Weber Basin","1927"
"6720.0","3500.0","27.0","Eden Dam","OS Little Sandy Creek","Sweetwater","42.218125247841755","-109.3665361404419","Wyoming","Eden","1910"
"6914.5","1326.0","229.5","El Vado Dam","Rio chama","Unknown","36.594030173904585","-106.7325210571289","New Mexico","Middle Rio Grande","1933"
"4414.0","1674.0","301.0","Elephant Butte Dam","Rio Grande","Sierra","33.15348719243569","-107.19117879867554","New Mexico","Rio Grande","1912"
"2254.0","4750.0","204.0","Emigrant Dam","Emigrant Creek","Jackson","42.16206","-122.605233","Oregon","Rogue River Basin","1924"
"3137.5","2603.0","134.0","Enders Dam","Frenchman River","Chase","40.4208","-101.5175","Nebraska","PSMBP-Frenchman-Cambridge","1947"
"4649.0","960.0","50.0","Fish Lake Dam","North Fork Little Butte Creek","Jackson","42.3781","-122.348","Oregon","Rogue River Basin","1902"
"6047.0","1285.0","502.0","Flaming Gorge Dam","Green River","Daggett","40.91499222778669","-109.42193448543549","Utah","Colorado River Storage","1958"
