USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,250.0,250.0,Wr,Nan,Atmosph,06,11,1955
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,1600.0,1600.0,Wr,Nan,Atmosph,22,11,1955
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.001,0.0,20.0,Se,Project 56:4,Surface,18,01,1956
USSR,Kazakh,MTM,46.0,61.0,0.0,0.0,0.0,0.3,0.3,We,Nan,Surface,02,02,1956
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,14.0,14.0,Wr,Nan,Surface,16,03,1956
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,5.5,5.5,Wr,Nan,Surface,25,03,1956
USA,Enewetak,DOE,11.3,162.15,0.0,0.0,-0.001,40.0,40.0,Wr,Lacrosse,Surface,04,05,1956
UK,Monteb Austr,DOE,-20.23,115.55,0.0,0.0,0.0,15.0,15.0,Wr,Mosaic:Gl,Tower,16,05,1956
USA,Bikini,DOE,11.35,165.2,0.0,0.0,-1.5,3800.0,3800.0,Wr,Cherokee,Airdrop,20,05,1956
USA,Bikini,DOE,11.35,165.2,0.0,0.0,-0.001,3500.0,3500.0,Wr,Zuni,Surface,27,05,1956
USA,Enewetak,DOE,11.3,162.15,0.0,0.0,0.0,0.19,0.19,Wr,Yuma,Tower,27,05,1956
USA,Enewetak,DOE,11.3,162.15,0.0,0.0,-0.1,14.9,14.9,Wr,Erie,Tower,30,05,1956
USA,Enewetak,DOE,11.3,162.15,0.0,0.0,-0.001,13.7,13.7,Wr,Seminole,Surface,06,06,1956
USA,Bikini,DOE,11.35,165.2,0.0,0.0,-0.001,365.0,365.0,Wr,Flathead,Barge,11,06,1956
USA,Enewetak,DOE,11.3,162.15,0.0,0.0,-0.1,8.0,8.0,Wr,Blackfoot,Tower,11,06,1956
USA,Enewetak,DOE,11.3,162.15,0.0,0.0,0.0,1.49,1.49,Wr,Kickapoo,Tower,13,06,1956
USA,Enewetak,DOE,11.3,162.15,0.0,0.0,-0.2,1.7,1.7,Wr,Osage,Airdrop,16,06,1956
UK,Monteb Austr,DOE,-20.4,115.53,0.0,0.0,0.0,60.0,60.0,Wr,Mosaic:G2,Tower,19,06,1956
USA,Enewetak,DOE,11.3,162.15,0.0,0.0,0.0,15.2,15.2,Wr,Inca,Tower,21,06,1956
USA,Bikini,DOE,11.35,165.2,0.0,0.0,-0.001,1100.0,1100.0,Wr,Dakota,Barge,25,06,1956
USA,Enewetak,DOE,11.3,162.15,0.0,0.0,0.0,360.0,360.0,Wr,Mohawk,Tower,02,07,1956
USA,Enewetak,DOE,11.3,162.15,0.0,0.0,-0.001,1850.0,1850.0,Wr,Apache,Barge,08,07,1956
USA,Bikini,DOE,11.35,165.2,0.0,0.0,-0.001,4500.0,4500.0,Wr,Navajo,Barge,10,07,1956
USA,Bikini,DOE,11.35,165.2,0.0,0.0,-0.001,5000.0,5000.0,Wr,Tewa,Barge,20,07,1956
USA,Enewetak,DOE,11.3,162.15,0.0,0.0,-0.001,250.0,250.0,Wr,Huron,Barge,21,07,1956
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,27.0,27.0,Wr,Nan,Surface,24,08,1956
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,900.0,900.0,Wr,Nan,Atmosph,30,08,1956
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,51.0,51.0,Wr,Nan,Atmosph,02,09,1956
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,38.0,38.0,Wr,Nan,Atmosph,10,09,1956
UK,Marali Austr,DOE,-30.0,131.0,0.0,0.0,0.0,15.0,15.0,Wr,Buffalo: Rl,Tower,27,09,1956
UK,Marali Austr,DOE,-30.0,131.0,0.0,0.0,-0.001,1.5,1.5,We,Buffalo:R2,Surface,04,10,1956
UK,Marali Austr,DOE,-30.0,131.0,0.0,0.0,0.0,3.0,3.0,Wr,Buffalo: R3,Airdrop,11,10,1956
UK,Marali Austr,DOE,-30.0,131.0,0.0,0.0,0.0,10.0,10.0,Wr,Buffalo:R4,Tower,22,10,1956
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,900.0,900.0,Wr,Nan,Atmosph,17,11,1956
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,40.0,40.0,Wr,Nan,Atmosph,14,12,1956
USSR,Mtr Russ,DOE,48.0,46.0,0.0,0.0,0.0,10.0,10.0,We,Nan,Atmosph,19,01,1957
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,19.0,19.0,Wr,Nan,Atmosph,08,03,1957
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,42.0,42.0,Wr,Nan,Atmosph,03,04,1957
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,57.0,57.0,Wr,Nan,Atmosph,06,04,1957
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,680.0,680.0,Wr,Nan,Atmosph,10,04,1957
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,22.0,22.0,Wr,Nan,Atmosph,12,04,1957
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,320.0,320.0,Wr,Nan,Atmosph,16,04,1957
