"artist.gender","artist.name","artist.role","data.medium","data.thumbnail","data.title","data.url","dimensions.depth","dimensions.height","dimensions.width","metadata.acquisition date","metadata.creation decade","metadata.creation year","metadata.credit","artist.birth.location","artist.birth.year","artist.death.location","artist.death.year"
"Male","Serres, John Thomas","artist","Graphite, ink and watercolour on paper","http://www.tate.org.uk/art/images/work/T/T10/T10319_8.jpg","The Courtyard of an Inn at Tivoli","http://www.tate.org.uk/art/artworks/serres-the-courtyard-of-an-inn-at-tivoli-t10319","0.0","120.0","150.0","1997","0","0","Purchased as part of the Opp Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","London, United Kingdom","1759","London, United Kingdom","1825"
"Male","Serusier, Paul","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T00/T00231_8.jpg","Roof Tops in Paris","http://www.tate.org.uk/art/artworks/serusier-roof-tops-in-paris-t00231","0.0","457.0","381.0","1959","0","0","Presented by the Friends of the Tate Gallery 1959","Paris, France","1863","Morlaix, France","1927"
"Male","Setch, Terry","artist","Pastel on paper","http://www.tate.org.uk/art/images/work/T/T05/T05555_8.jpg","Once Upon a Time There Was Oil (Car on Beach)","http://www.tate.org.uk/art/artworks/setch-once-upon-a-time-there-was-oil-car-on-beach-t05555","0.0","675.0","565.0","1989","1980","1981","Presented by the artist 1989","London, United Kingdom","1936","","0"
"Male","Seurat, Georges","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N06/N06067_8.jpg","Le Bec du Hoc, Grandcamp","http://www.tate.org.uk/art/artworks/seurat-le-bec-du-hoc-grandcamp-n06067","65.0","998.0","839.0","1952","1880","1885","Purchased 1952","Paris, France","1859","Paris, France","1891"
"Male","Severini, Gino","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T01/T01070_8.jpg","Suburban Train Arriving in Paris","http://www.tate.org.uk/art/artworks/severini-suburban-train-arriving-in-paris-t01070","0.0","1156.0","886.0","1968","1910","1915","Purchased with assistance from a member of the Art Fund 1968","Cortona, Italia","1883","Paris, France","1966"
"Male","Severn, Joseph","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T03/T03357_8.jpg","The Infant of the Apocalypse Saved from the Dragon","http://www.tate.org.uk/art/artworks/severn-the-infant-of-the-apocalypse-saved-from-the-dragon-t03357","0.0","1270.0","2235.0","1982","1820","1827","Purchased 1982","London, United Kingdom","1793","Roma, Italia","1879"
"Male","Seymour, James","artist","Ink on paper. Verso: ink on paper","http://www.tate.org.uk/art/images/work/T/T09/T09239_8.jpg","A Meet. Verso: Sketch of a Hunt Starting Off","http://www.tate.org.uk/art/artworks/seymour-a-meet-verso-sketch-of-a-hunt-starting-off-t09239","0.0","322.0","201.0","1997","0","0","Purchased as part of the Opp Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","London, United Kingdom","1702","London, United Kingdom","1752"
"Male","Shackleton, William","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N04/N04676_8.jpg","Line of Life","http://www.tate.org.uk/art/artworks/shackleton-line-of-life-n04676","0.0","1016.0","952.0","1933","1910","1915","Bequeathed by the artist 1933","Bradford, United Kingdom","1872","London, United Kingdom","1933"
"Male","Shadbolt, Jack","artist","Screenprint on paper","","Begetting Green","http://www.tate.org.uk/art/artworks/shadbolt-begetting-green-p03226","0.0","352.0","476.0","1977","1960","1967","Presented by Simon Fraser University, British Columbia 1977","Shoeburyness, United Kingdom","1909","","1998"
"Female","Shahbazi, Shirana","artist","Wool, cotton, dye and paper","","[Farsh-06-2004]","http://www.tate.org.uk/art/artworks/shahbazi-farsh-06-2004-t12318","5.0","495.0","872.0","2007","2000","2004","Purchased 2007","ran","1974","","0"
"Male","Shahn, Ben","artist","Screenprint and watercolour on paper","http://www.tate.org.uk/art/images/work/T/T00/T00314_8.jpg","Lute and Molecules","http://www.tate.org.uk/art/artworks/shahn-lute-and-molecules-t00314","0.0","1022.0","689.0","1959","1950","1958","Purchased 1959","Lietuva","1898","New York, United States","1969"
"Female","Shahroudy Farmanfarmaian, Monir","artist","Mirror glass, stainless steel, plaster and wood","http://www.tate.org.uk/art/images/work/T/T13/T13735_8.jpg","Untitled","http://www.tate.org.uk/art/artworks/shahroudy-farmanfarmaian-untitled-t13735","40.0","789.0","1276.0","2013","1970","1976","Purchased with funds provided by the Middle East North Africa Acquisitions Committee 2013","Qazvin, ran","1924","","0"
