"groups","claim","status","statistics.sources","date.year","date.month","date.day","statistics.# wounded_low","statistics.# wounded_high","statistics.# killed_low","statistics.# killed_high","statistics.# killed_low_civilian","statistics.# killed_high_civilian","statistics.# killed_low_political","statistics.# killed_high_political","statistics.# killed_low_security","statistics.# killed_high_security","statistics.# belt_bomb","statistics.# truck_bomb","statistics.# car_bomb","statistics.# weapon_oth","statistics.# weapon_unk","target.weapon","target.region","target.subregion","target.country","target.province","target.city","target.location","target.latitude","target.longtitude","target.desc","target.type","target.nationality","statistics.# attackers","statistics.# female_attackers","statistics.# male_attackers","statistics.# unknown_attackers","attacker.gender"
"Al-Qaeda in the Arabian Peninsula","Suspected","Confirmed Suicide","2","2012","10","2","8","8","6","6","0","0","0","0","6","6","0","0","1","0","0","Car bomb","Asia","Western Asia","Yemen","Abyan","Mudiyah","Popular Member Committee checkpoint","13.933333","46.083333","Yemeni ""Popular Committees"" paramilitary checkpoint","Security","Yemeni","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","3","2007","1","5","5","7","1","1","0","0","0","0","1","1","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Pakistan","F.C.T.","Islamabad","Hotel, Marriott Hotel","33.7215","73.04328918","Foreigners at Marriott Hotel","Civilian","Multinational","1","0","1","0","Male"
"Islamic State - Tripolitania Province","Claimed","Confirmed Suicide","3","2015","5","4","3","5","1","2","0","0","0","0","1","2","0","0","1","0","0","Car bomb","Africa","Northern Africa","Libya","Misratah","Misratah","Checkpoint 60 located on the coastal between Misrata and Sirte, south of Tawargha","32.375278","15.0925","Libya Dawn Forces Checkpoint","Security","Libyan","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2004","10","5","1","1","1","1","0","0","0","0","1","1","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Al-Anbar","Ramadi","checkpoint 5 km west of Ramadi","33.434167","43.268611","US military checkpoint","Security","American","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2011","6","2","5","6","1","2","1","2","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Pakistan","F.C.T.","Islamabad","Bank, Private bank","33.7215","73.04328918","Private bank","Civilian","Pakistani","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2015","1","5","6","6","1","1","0","0","0","0","1","1","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Al-Anbar","Ramadi","Iraqi Army Checkpoint","33.434167","43.268611","Iraqi Army Checkpoint","Security","Iraqi","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","3","2015","8","6","15","19","4","10","4","10","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Homs (Hims)","Hims","Zahra neighborhood","34.733","36.717","Civilian commuters in Mwasalat roundabout","Civilian","Syrian","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","7","2009","7","4","65","70","20","35","20","35","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Western Asia","Iraq","Ninawa","Tal Afar","Al-Qala neighborhood","36.374167","42.443333","Police Sergeant and his brother [unknown]","Security","Iraqi","2","0","2","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","7","2009","7","4","65","70","20","35","20","35","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Western Asia","Iraq","Ninawa","Tal Afar","Al-Qala neighborhood","36.374167","42.443333","Police Sergeant and his brother [unknown]","Security","Iraqi","2","0","2","0","Male"
"Tehrik-i-Taliban Pakistan","Claimed","Confirmed Suicide","4","2010","12","1","60","65","40","50","40","40","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Pakistan","F.A.T.A.","Mohmand","Ghalani area, along Pakistan's border with Afghanistan","34.41533","71.19844","Pakistani Government Compound","Political","Pakistani","2","0","2","0","Male"
"Tehrik-i-Taliban Pakistan","Claimed","Confirmed Suicide","4","2010","12","1","60","65","40","50","40","40","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Pakistan","F.A.T.A.","Mohmand","Ghalani area, along Pakistan's border with Afghanistan","34.41533","71.19844","Pakistani Government Compound","Political","Pakistani","2","0","2","0","Male"
"Unknown Group","Unclaimed","Possible - Conflicting Reports","2","2013","2","1","28","50","10","12","0","0","0","0","10","12","0","0","1","0","0","Car bomb","Asia","Western Asia","Turkey","Hatay","Cilveg_z_","Turkey-Syria border","36.238959","36.655436","Cilvegozu border crossing","Security","Turkish","1","0","0","1","Unknown"
"Palestinian Islamic Jihad","Claimed","Confirmed Suicide","3","2006","1","4","15","30","0","0","0","0","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Western Asia","Israel","Tel Aviv","Tel Aviv","Restaurant, Crowded pedestrian mall near Tel Aviv's old central bus station","32.08088","34.78057","Israeli fast food restaurant ""The Mayor's Shwarma""","Civilian","Israeli","1","0","1","0","Male"
"Taliban (IEA)","Claimed","Confirmed Suicide","4","2006","12","2","2","11","0","0","0","0","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Southern Asia","Afghanistan","Kandahar","Kandahar City","Mirwais Mena Area","31.61","65.71","NATO-ISAF military convoy","Security","Canadian","1","0","1","0","Male"
"Al-Shabaab","Claimed","Confirmed Suicide","3","2017","9","5","5","5","4","12","0","0","0","0","4","12","0","0","1","0","0","Car bomb","Africa","Eastern Africa","Somalia","Banaadir","Mogadishu","Somali military base in Barire village","2.03711","45.34375","Somali Security forces and personnel at the base","Security","Somali","2","0","0","2","Unknown"
"Al-Shabaab","Claimed","Confirmed Suicide","3","2017","9","5","5","5","4","12","0","0","0","0","4","12","0","0","1","0","0","Car bomb","Africa","Eastern Africa","Somalia","Banaadir","Mogadishu","Somali military base in Barire village","2.03711","45.34375","Somali Security forces and personnel at the base","Security","Somali","2","0","0","2","Unknown"
"Ansar al-Islam","Claimed","Confirmed Suicide","4","2003","3","6","8","9","3","5","1","2","0","0","2","3","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","As-Sulaymaniyah","Khormal","Checkpoint","35.29748","46.03486","Foreign journalists stopped at a checkpoint","Civilian","Australian","1","0","1","0","Male"
"Taliban (IEA)","Claimed","Confirmed Suicide","2","2012","6","6","16","37","11","21","11","18","0","0","0","3","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Afghanistan","Khost","Khost","Joint NATO-ISAF and Afghan National Army (ANA) military convoy","33.34","69.9","U.S forces and allies","Security","American","1","0","0","1","Unknown"
"Islamic State Yemen","Claimed","Confirmed Suicide","2","2015","3","5","50","178","68","68","68","68","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Western Asia","Yemen","Sana'a (City)","Sanaa","Mosque, Southern Sanaa","15.354722","44.206667","al-Badr Houthi Shia mosque","Civilian","Yemeni","2","0","2","0","Male"
"Islamic State Yemen","Claimed","Confirmed Suicide","2","2015","3","5","50","178","68","68","68","68","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Western Asia","Yemen","Sana'a (City)","Sanaa","Mosque, Southern Sanaa","15.354722","44.206667","al-Badr Houthi Shia mosque","Civilian","Yemeni","2","0","2","0","Male"
"Al-Qaeda in the Arabian Peninsula","Denied","Confirmed Suicide","2","2015","3","5","50","178","68","68","68","68","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Western Asia","Yemen","Sana'a (City)","Sanaa","Mosque, Southern Sanaa","15.354722","44.206667","al-Badr Houthi Shia mosque","Civilian","Yemeni","2","0","2","0","Male"
"Al-Qaeda in the Arabian Peninsula","Denied","Confirmed Suicide","2","2015","3","5","50","178","68","68","68","68","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Western Asia","Yemen","Sana'a (City)","Sanaa","Mosque, Southern Sanaa","15.354722","44.206667","al-Badr Houthi Shia mosque","Civilian","Yemeni","2","0","2","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2009","6","2","6","11","4","4","4","4","0","0","0","0","0","0","0","1","0","Mixed","Asia","Southern Asia","Pakistan","Baluchistan","Surab","Hotel, Kalat on Quetta-Karachi Highway","28.49","66.26","Balochi Tribesmen in Hotel","Civilian","Pakistani","1","0","1","0","Male"
"Islamic State of Iraq and Syria","Claimed","Confirmed Suicide","3","2014","5","6","13","13","5","10","3","4","0","0","2","6","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Sala ad-Din","Khazraj","gas pipeline","34.0617","44.2583","Iranian engineers working on a gas pipeline between Iran and Iraq, escorted by Iraqi Army convoy","Security","Iranian","1","0","1","0","Male"
"Islamic State of Iraq","Claimed","Confirmed Suicide","5","2009","8","3","250","250","59","59","59","59","0","0","0","0","0","1","0","0","0","Truck bomb","Asia","Western Asia","Iraq","Baghdad","Baghdad","Near the Green Zone, occurred shortly after attack on Finance Ministry","33.34","44.4","Iraqi Ministry of Foreign Affairs","Political","Iraqi","1","0","1","0","Male"
"Islamic State","Claimed","Confirmed Suicide","3","2014","12","7","13","13","4","4","0","0","0","0","4","4","1","0","0","0","0","Belt bomb","Asia","Western Asia","Iraq","Al-Anbar","Hadithah","Restaurant, al-Baghdadi district of Hadithah","34.13","42.37","Iraqi soldiers who were in the restaurant","Security","Iraqi","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2011","3","4","20","30","5","8","3","3","0","0","2","2","0","0","1","0","0","Car bomb","Asia","Southern Asia","Pakistan","Khyber-Pakhtunkhwa","Doaba","Near  main gate of the police station,  around 22 kilometers  from Hangu","33.42","70.74","Pakistani Police Doaba station","Security","Pakistani","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","3","2007","4","6","0","0","5","6","0","0","0","0","5","6","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Sala ad-Din","Samarra","Qadsiyah neighborhood","34.19","43.87","Iraqi Police checkpoint","Security","Iraqi","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2015","12","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","Belt bomb","Africa","Middle Africa","Cameroon","ExtremeNord","Bodo","Logone and Shari area","12.3601","14.46","Bodo Market","Civilian","Cameroonian","2","2","0","0","Female"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2015","12","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","Belt bomb","Africa","Middle Africa","Cameroon","ExtremeNord","Bodo","Logone and Shari area","12.3601","14.46","Bodo Market","Civilian","Cameroonian","2","2","0","0","Female"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2009","4","2","7","12","1","3","0","0","0","0","1","3","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Al-Anbar","Fallujah","Convoy of","33.36","43.77","Local Sunni political leader, former Iraqi army colonel Abu Kutaibah [survived]","Political","Iraqi","1","0","0","1","Unknown"
"Palestinian Islamic Jihad","Denied","Possible - Conflicting Reports","3","2004","10","4","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","Car bomb","Africa","Northern Africa","Egypt","Janub Sina'","Taba","Ras al-Shitan Campsite Near Castle Island Beach","29.5","34.883333","Israeli Tourists","Civilian","Israeli","1","0","0","1","Unknown"
"Jamaa Al-Islamiya Al-Alamiya","Claimed","Possible - Conflicting Reports","3","2004","10","4","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","Car bomb","Africa","Northern Africa","Egypt","Janub Sina'","Taba","Ras al-Shitan Campsite Near Castle Island Beach","29.5","34.883333","Israeli Tourists","Civilian","Israeli","1","0","0","1","Unknown"
"Al-Qaeda Central","Suspected","Possible - Conflicting Reports","3","2004","10","4","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","Car bomb","Africa","Northern Africa","Egypt","Janub Sina'","Taba","Ras al-Shitan Campsite Near Castle Island Beach","29.5","34.883333","Israeli Tourists","Civilian","Israeli","1","0","0","1","Unknown"
"Islamic Unity Brigades","Claimed","Possible - Conflicting Reports","3","2004","10","4","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","Car bomb","Africa","Northern Africa","Egypt","Janub Sina'","Taba","Ras al-Shitan Campsite Near Castle Island Beach","29.5","34.883333","Israeli Tourists","Civilian","Israeli","1","0","0","1","Unknown"
"Abdullah Azzam Brigades","Claimed","Possible - Conflicting Reports","3","2004","10","4","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","Car bomb","Africa","Northern Africa","Egypt","Janub Sina'","Taba","Ras al-Shitan Campsite Near Castle Island Beach","29.5","34.883333","Israeli Tourists","Civilian","Israeli","1","0","0","1","Unknown"
"Taliban (IEA)","Claimed","Confirmed Suicide","3","2010","12","5","1","2","1","2","0","2","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Southern Asia","Afghanistan","Nangarhar","Surkh Rod District","Moi Mubarak area, near Pakistan Border","34.39","70.26","NATO-ISAF military convoy","Security","Multinational","1","0","1","0","Male"
"Al-Shabaab","Claimed","Confirmed Suicide","3","2012","1","2","0","0","10","10","0","0","0","0","10","10","0","0","1","0","0","Car bomb","Africa","Eastern Africa","Somalia","Hiiraan","Beledweyne","Ethiopian military base, main gate","4.73583","45.20361","Ethiopian Military Base","Security","Ethiopian","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","3","2007","11","3","2","12","0","0","0","0","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Kirkuk","Kirkuk","Political Party Local Office, Hai al-Askari, Southern Kirkuk","35.46","44.39","I) offices","Political","Iraqi","1","0","1","0","Male"
"Boko Haram","Claimed","Confirmed Suicide","3","2012","2","2","0","0","2","5","0","0","0","0","2","5","0","0","1","0","0","Car bomb","Africa","Western Africa","Nigeria","Kaduna","Kaduna","Security gate","10.523","7.44","1st Divisional Headquarters of the Nigerian Army","Security","Nigerian","1","0","0","1","Unknown"
"Taliban (IEA)","Denied","Confirmed Suicide","3","2006","1","1","20","20","20","20","20","20","0","0","0","0","0","0","0","1","0","Motorcycle bomb","Asia","Southern Asia","Afghanistan","Kandahar","Spin Boldak","Market, Bazaar","31.008056","66.398056","Afghan Market","Civilian","Afghan","1","0","1","0","Male"
"Movement for the Oneness and Jihad in West Africa","Claimed","Confirmed Suicide","4","2013","5","5","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","Backpack bomb","Africa","Western Africa","Mali","Timbuktu","Gossi","Checkpoint on the edge of the town","15.822147","-1.312405","Malian Army checkpoint","Security","Malian","3","0","0","3","Unknown"
"Movement for the Oneness and Jihad in West Africa","Claimed","Confirmed Suicide","4","2013","5","5","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","Backpack bomb","Africa","Western Africa","Mali","Timbuktu","Gossi","Checkpoint on the edge of the town","15.822147","-1.312405","Malian Army checkpoint","Security","Malian","3","0","0","3","Unknown"
"Movement for the Oneness and Jihad in West Africa","Claimed","Confirmed Suicide","4","2013","5","5","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","Backpack bomb","Africa","Western Africa","Mali","Timbuktu","Gossi","Checkpoint on the edge of the town","15.822147","-1.312405","Malian Army checkpoint","Security","Malian","3","0","0","3","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2008","2","7","25","37","23","34","21","34","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Sala ad-Din","Balad","Yathrib area","34.01","44.14","Iraqi Police checkpoint","Security","Iraqi","1","0","1","0","Male"
"Unknown Group","Unclaimed","Possible - Too Few Sources","1","2013","10","7","0","0","1","1","0","0","0","0","1","1","0","0","0","1","0","Unspecified","Asia","Southern Asia","Afghanistan","Hilmand","Helmand Province","Near Camp Leatherneck","31.579996","64.377396","US Marine patrol","Security","American","1","0","0","1","Unknown"
"Islamic State","Claimed","Confirmed Suicide","3","2016","1","1","20","26","10","12","5","6","0","0","5","6","1","0","0","0","0","Belt bomb","Asia","Western Asia","Iraq","Diyala","Miqdadiyah","Caf_ in Miqdadiyah","33.97","44.93","Caf_ frequented by Shiite civilians and government militia fighters","Security","Iraqi","1","0","1","0","Male"
"Unknown Group","Unclaimed","Possible - Conflicting Reports","2","2012","12","5","4","4","3","3","0","0","0","0","3","3","0","0","0","1","0","Unspecified","Asia","Southern Asia","Pakistan","F.A.T.A.","Wana","At a vegetable marke near the office of Taliban commander Maulvi Abbas","32.3","69.57","Taliban commander Maulvi Abbas (killed), top aide to Taliban leader Maulvi Nazir","Security","Pakistani","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2009","7","6","6","9","0","0","0","0","0","0","0","0","0","0","0","1","0","Motorcycle bomb","Asia","Southern Asia","Pakistan","Khyber-Pakhtunkhwa","Lakki Marwat","Lakki-Tajazai Road","32.6","70.85","Pakistani Police van","Security","Pakistani","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2006","7","1","1","2","1","4","0","1","0","0","0","3","0","0","0","1","0","Motorcycle bomb","Asia","Southern Asia","Afghanistan","Farah","Farah","Western Outskirts of Farah","32.36","62.11","NATO-ISAF patrol","Security","Canadian","1","0","0","1","Unknown"
"Islamic State of Iraq","Claimed","Confirmed Suicide","4","2007","11","5","3","4","4","7","0","2","4","5","0","0","1","0","0","0","0","Belt bomb","Asia","Western Asia","Iraq","Diyala","Khalis","Home of Shaykh Fa'iz Laftah al-Ubaydi in Dojemah village","33.85","44.52","Sahwa/Awakening Council leaders, see Notes section for names [all killed]","Security","Iraqi","1","0","0","1","Unknown"
"Jabhat an-Nu_rah li-Ahl ash-Sh_m","Suspected","Confirmed Suicide","3","2012","5","6","100","100","9","9","0","0","0","0","9","9","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Deir ez-Zor","Deir ez-Zor","car park of a military compound","35.333333","40.15","Syrian Military Intelligence headquarters","Security","Syrian","1","0","0","1","Unknown"
"Al-Majlis al-Wa_an_ as-S_ri","Denied","Confirmed Suicide","3","2012","5","6","100","100","9","9","0","0","0","0","9","9","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Deir ez-Zor","Deir ez-Zor","car park of a military compound","35.333333","40.15","Syrian Military Intelligence headquarters","Security","Syrian","1","0","0","1","Unknown"
"Taliban (IEA)","Claimed","Confirmed Suicide","3","2018","2","6","7","9","0","1","0","0","0","0","0","1","0","0","1","0","0","Car bomb","Asia","Southern Asia","Afghanistan","Hilmand","Lashkar Gah","near Police HQ in Parcha Village","31.59","64.37","Afghan NDS compound","Security","Afghan","1","0","0","1","Unknown"
"Al-Qaeda in Iraq","Claimed","Confirmed Suicide","4","2005","2","1","170","170","123","125","0","0","0","0","123","125","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Babil","Hillah","Medical clinic near Mayor's office and outdoor market","32.48","44.43","Iraqi Police and Army Recruits","Security","Iraqi","1","0","1","0","Male"
"Taliban (IEA)","Claimed","Confirmed Suicide","3","2008","9","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Southern Asia","Afghanistan","Kondoz","Kunduz","Kabul Bandar area of province","36.72","68.87","NATO-ISAF (German) military convoy","Security","German","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2008","9","5","17","17","2","6","0","2","0","4","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Baghdad","Baghdad","Mansour District","33.34","44.4","Convoy of Ahmed al-Chalabi, former Deputy Prime Minister","Political","Iraqi","1","0","1","0","Male"
"Islamic State","Suspected","Confirmed Suicide","2","2015","4","5","5","5","8","8","0","0","0","0","8","8","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Al-Anbar","Ramadi","Ramadi Grand Mosque","33.434167","43.268611","Police retaking the mosque from IS forces","Security","Iraqi","1","0","0","1","Unknown"
"Taliban (IEA)","Claimed","Confirmed Suicide","5","2007","12","2","22","22","0","2","0","2","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Southern Asia","Afghanistan","Kabul","Kabul","Road to Kabul International Airport","34.53","69.17","NATO-ISAF military convoy","Security","Multinational","1","0","1","0","Male"
"Unknown Group","Unclaimed","Possible - Too Few Sources","1","2006","9","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Afghanistan","Nangarhar","Bati Kowt","Spin Khowar area, Torkham-Jalalabad Highway","34.25","70.73","NATO-ISAF patrol","Security","Multinational","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","3","2006","11","2","12","18","10","10","10","10","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Western Asia","Iraq","Baghdad","Baghdad","Street in front of a church in north-east Baghdad","33.34","44.4","Minibus transporting Iraqi civilians","Civilian","Iraqi","1","0","1","0","Male"
"Hamas","Claimed","Confirmed Suicide","7","2003","9","2","14","14","9","9","0","0","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Western Asia","Israel","HaMerkaz","Tzrifin","Bus Stop","31.958681","34.838536","Israeli Defence Force (IDF) soldiers waiting for a bus","Security","Israeli","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2015","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Southern Asia","Afghanistan","Nangarhar","Behsud","Torkham-Jalalabad Road","34.451794","70.499582","NATO military convoy","Security","Multinational","1","0","0","1","Unknown"
"Taliban (IEA)","Suspected","Confirmed Suicide","4","2015","1","4","39","39","8","17","8","17","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Afghanistan","Laghman","Mehtar Lam","Pahlawan Baba area of Mehtarlam","34.67","70.2","Funeral of victims of Taliban roadside bomb attack","Civilian","Afghan","1","0","0","1","Unknown"
"Tehrik-i-Taliban Pakistan","Claimed","Confirmed Suicide","2","2012","2","5","26","54","17","40","17","40","0","0","0","0","0","0","0","1","0","Motorcycle bomb","Asia","Southern Asia","Pakistan","F.A.T.A.","Parachinar","Mosque, Kumi Bazaar","33.9","70.1","Mosque by Kumi Bazaar","Civilian","Pakistani","1","0","1","0","Male"
"Al-Qaeda Central","Claimed","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Claimed","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Claimed","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Claimed","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Claimed","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Claimed","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Claimed","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Claimed","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Claimed","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Claimed","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Denied","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Denied","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Denied","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Denied","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Denied","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Denied","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Denied","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Denied","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
"Al-Qaeda Central","Denied","Confirmed Suicide","5","2001","9","2","6185","6185","2753","2753","2753","2753","0","0","0","0","0","0","0","1","0","Airplane","Americas","Northern America","United States","New York","New York","Business Center, World Trade Center, Downtown Manhattan","40.7488","-73.9846","World Trade Center","Civilian","American","10","0","10","0","Male"
