"groups","claim","status","statistics.sources","date.year","date.month","date.day","statistics.# wounded_low","statistics.# wounded_high","statistics.# killed_low","statistics.# killed_high","statistics.# killed_low_civilian","statistics.# killed_high_civilian","statistics.# killed_low_political","statistics.# killed_high_political","statistics.# killed_low_security","statistics.# killed_high_security","statistics.# belt_bomb","statistics.# truck_bomb","statistics.# car_bomb","statistics.# weapon_oth","statistics.# weapon_unk","target.weapon","target.region","target.subregion","target.country","target.province","target.city","target.location","target.latitude","target.longtitude","target.desc","target.type","target.nationality","statistics.# attackers","statistics.# female_attackers","statistics.# male_attackers","statistics.# unknown_attackers","attacker.gender"
"Hay¡˜at Tahrir al-Sham","Claimed","Confirmed Suicide","2","2017","11","5","23","23","9","9","9","9","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Quneitra","Hader","On the outskirts of Hader","33.280982","35.830432","Syrian civilian residential area","Civilian","Syrian","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2017","12","7","8","13","5","6","5","6","0","0","0","0","0","0","0","1","0","Motorcycle bomb","Asia","Southern Asia","Afghanistan","Nangarhar","Jalalabad","Stadium, Outside of a soccer stadium in Jalalabad","34.43","70.45","Pro-government rally","Political","Afghan","1","0","0","1","Unknown"
"Hay¡˜at Tahrir al-Sham","Claimed","Confirmed Suicide","2","2017","11","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Lattakia (Al Ladhiqiyah)","Jableh","North of Bustan al-Basha Village","35.35990142","35.9310051","Russian Military Convoy","Security","Russian","1","0","0","1","Unknown"
"Boko Haram (Shekau Faction)","Suspected","Confirmed Suicide","5","2017","12","4","13","40","3","8","3","8","0","0","0","0","1","0","0","0","0","Belt bomb","Africa","Western Africa","Nigeria","Borno","Konduga","Marketplace, Amarwa Village Community Marketplace","11.651667","13.419444","Nigerian Civillians in a Marketplace","Civilian","Nigerian","1","0","1","0","Male"
"Taliban (IEA)","Claimed","Confirmed Suicide","3","2017","12","5","5","8","4","8","0","0","0","0","4","8","0","1","0","0","0","Truck bomb","Asia","Southern Asia","Afghanistan","Kandahar","Maywand","Afghan Local Police Command and Control Post and Checkpoint","31.73","65.12","Afghan Maywand District Police Station","Security","Afghan","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2017","12","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Western Asia","Iraq","Sala ad-Din","Sharqat","Eastern bank of Sharqat","35.486038","43.240801","Iraqi Military Intelligence Services troops and Iraqi PMF troops","Security","Iraqi","1","0","1","0","Male"
"Tehrik-i-Taliban Pakistan","Claimed","Possible - Conflicting Reports","5","2017","12","5","30","38","9","9","8","8","0","0","1","1","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Pakistan","Khyber-Pakhtunkhwa","Peshawar","Technical School, Institute for Agricultural Training","34.01","71.58","Pakistani students and teachers in dormitory","Civilian","Pakistani","3","0","0","3","Unknown"
"Tehrik-i-Taliban Pakistan","Claimed","Possible - Conflicting Reports","5","2017","12","5","30","38","9","9","8","8","0","0","1","1","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Pakistan","Khyber-Pakhtunkhwa","Peshawar","Technical School, Institute for Agricultural Training","34.01","71.58","Pakistani students and teachers in dormitory","Civilian","Pakistani","3","0","0","3","Unknown"
"Tehrik-i-Taliban Pakistan","Claimed","Possible - Conflicting Reports","5","2017","12","5","30","38","9","9","8","8","0","0","1","1","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Pakistan","Khyber-Pakhtunkhwa","Peshawar","Technical School, Institute for Agricultural Training","34.01","71.58","Pakistani students and teachers in dormitory","Civilian","Pakistani","3","0","0","3","Unknown"
"Islamic State","Suspected","Possible - Too Few Sources","3","2017","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Unspecified","Asia","Western Asia","Iraq","Kirkuk","Al Rashad","An underground tunnel","35.135849","44.087712","Iraqi PMF troops","Security","Iraqi","5","0","0","5","Unknown"
