Southeast Fairbanks Census Area,7029,Alaska,369,2567,119,128,77,60,1656,1764,506,266,1776,1901,695,439,6244,6668,2090,1189,585,635,215,132
Valdez-Cordova Census Area,9636,Alaska,201,3966,259,279,182,133,1438,1772,628,358,1903,2035,996,676,6026,7214,2724,1649,550,607,280,193
Wrangell City and Borough,2369,Alaska,19,1053,17,47,9,3,188,258,105,34,207,330,119,38,876,1270,506,161,135,200,70,20
Yakutat City and Borough,662,Alaska,18,270,11,20,0,0,68,139,0,0,104,201,1,0,280,541,2,0,29,50,0,0
Yukon-Koyukuk Census Area,5588,Alaska,31,2217,1019,1049,1013,1013,1399,1450,1385,1385,2440,2528,2418,2418,5048,5222,5005,5005,523,532,522,522
Apache County,71518,Arizona,941,22771,2555,2677,1657,772,19889,21617,11490,5918,39413,41823,24663,12405,62704,68078,37500,17768,7215,7830,4687,1862
Cochise County,131346,Arizona,6271,50865,1509,2219,307,93,19352,25994,3305,836,31290,44020,6637,2201,90307,114686,17460,5071,16467,19927,4056,1502
Coconino County,134421,Arizona,8834,46711,1152,1581,731,592,17781,25188,5587,4192,24691,36752,10623,8117,69595,100138,21007,15248,7679,9927,2530,1683
Gila County,53597,Arizona,917,22000,880,1080,121,9,7419,9649,890,165,15181,19955,2408,363,33950,45605,6427,946,7598,10758,1976,238
Graham County,37220,Arizona,3751,11120,530,647,185,171,8552,10061,1087,810,12504,14623,2282,1745,30264,35270,4374,2281,3221,3941,373,171
Greenlee County,8437,Arizona,35,3188,88,90,33,25,1451,1808,668,416,2392,2648,1167,786,5465,6555,2678,1617,943,991,518,308
La Paz County,20489,Arizona,388,9198,570,604,397,350,2490,3297,1241,852,8372,9733,5409,4078,16181,19008,10891,8351,6116,6544,5147,4165
Maricopa County,3817117,Arizona,53177,1411583,13735,47353,239,95,237450,662285,5524,1690,236820,757010,9410,2983,903299,2497632,25946,5508,123489,319028,2822,599
Mohave County,200186,Arizona,2629,82539,2710,3732,434,93,24298,35041,2621,557,52982,73413,9375,2463,129844,174904,20584,5198,32290,41456,5801,1796
Navajo County,107449,Arizona,2227,35658,2530,3027,1498,914,23511,28399,9931,5255,43223,50482,20933,10868,80003,95837,32705,16086,10750,12801,4321,1668
Pima County,980263,Arizona,22224,388660,5190,18261,696,213,82305,159554,6383,903,103921,244903,12857,2103,357216,692797,24470,2893,63976,111545,3064,286
Pinal County,375770,Arizona,26245,125590,2994,4657,354,68,62094,86769,5320,622,80775,112950,8401,1088,248068,331923,20273,2349,34874,46443,3281,409
Santa Cruz County,47420,Arizona,384,15437,259,583,24,0,8835,12517,568,156,13740,21114,1160,231,28587,40169,3356,1106,3464,4989,903,338
Yavapai County,211033,Arizona,3525,90903,1782,2747,192,11,27351,35945,2930,296,48356,63476,7271,1064,142482,185552,16796,2138,34652,44351,4200,563
Yuma County,195751,Arizona,5921,64767,1135,2280,30,16,17910,37855,912,309,30612,60387,1168,496,71728,135747,3059,1091,14021,22590,360,143
