"Year","Data.Meat.Beef","Data.Meat.Lamb","Data.Meat.Pork","Data.Meat.Average","Data.Fuel.Coal","Data.Fuel.Natural gas","Data.Fuel.Petroleum","Data.Fuel.Average","Data.Grain.Corn","Data.Grain.Rice","Data.Grain.Rye","Data.Grain.Wheat","Data.Grain.Average","Data.Metal.Aluminum","Data.Metal.Chromium","Data.Metal.Copper","Data.Metal.Lead","Data.Metal.Manganese","Data.Metal.Nickel","Data.Metal.Steel","Data.Metal.Tin","Data.Metal.Zinc","Data.Metal.Iron ore","Data.Metal.Gold","Data.Metal.Platinum","Data.Metal.Silver","Data.Metal.Average","Data.Plant extract.Cocoa","Data.Plant extract.Coffee","Data.Plant extract.Cotton","Data.Plant extract.Cottonseed","Data.Plant extract.Palm oil","Data.Plant extract.Rubber","Data.Plant extract.Sugar","Data.Plant extract.Tea","Data.Plant extract.Tobacco","Data.Plant extract.Average"
"1936","90.19990249","188.8912384","110.2245291","129.77188999666666","99.38949939","48.8775829","116.531596","88.26622609666667","128.3347093","52.62785512","95.18740297","94.99479142","92.7861897025","36.81887694","47.19387755","34.35297952","63.30068068","69.02418009","41.21789322","70.03845016","91.22833234","65.99007709","65.97771023","99.44632586","127.8530301","41.1473643","65.66075216","23.77421906","67.5033632","79.29781291","134.8768473","80.35079652","16.67959769","35.90166286","64.28039909","228.3665034","81.22568911444445"
"1937","124.204512","201.0166946","111.5730226","145.5980764","105.7397686","39.31309767","124.7439898","89.93228535666667","152.6162834","53.85234408","77.61691102","98.6879608","95.69337482499999","34.84310605","43.52616395","46.11220329","77.95800969","67.08871082","39.78272981","84.49973183","103.0295684","84.69211913","68.02228412","95.98371006","149.4210169","38.31502115","71.79033655384616","28.34261838","75.88776299","67.39504313","76.23187014","85.52389374","18.85936044","35.25278614","71.59923284","209.8718175","74.32937614444444"
"1938","111.9938378","177.0539819","89.14266491","126.06349487","108.3215046","40.06643595","121.9239736","90.10397138333333","83.08109036","50.36070714","44.74117769","65.59291882","60.9439735025","35.33426138","44.36023522","35.68300372","62.66438516","88.31094806","40.54506742","84.32481519","81.73816856","61.07174984","62.93402594","97.82300046","105.7081757","38.15769874","64.51196426076923","17.8801155","54.05825832","55.86728886","86.85641565","68.92830082","14.5247739","29.59939236","68.36525931","218.6972464","68.30856123555556"
"1939","108.6061374","147.2346485","73.29527329","109.71201973","103.6827823","40.64334647","107.8231873","84.04977202333333","76.53710965","49.43359588","51.35100569","64.21859482","60.385076510000005","35.84303404","42.90599609","39.67134517","67.72461255","89.48763431","41.12886969","79.71506379","98.63256128","68.74748453","74.56336259","98.02658458","109.5373088","31.65302331","67.51052928692307","16.74287231","52.68297514","60.56940283","85.27792259","71.9720817","17.67225622","31.26863656","60.28846065","159.3958785","61.76338738888889"
"1940","135.6405946","148.8849444","63.04904025","115.85819308333333","106.553265","40.23778207","106.747261","84.51276935666665","95.6145706","58.82622021","48.63829006","79.2350174","70.57852456750001","33.17877263","43.51389879","40.49332434","68.77306009","79.10086272","40.71846044","77.47816347","96.70159879","84.32307428","62.21561699","96.72094366","112.6150144","31.15810037","66.6916069976923","17.61461205","50.70151494","66.72643377","86.82773367","73.28472353","19.93489383","27.88175899","60.96664038","135.9690317","59.98970476222222"
"1941","150.695685","146.2664985","88.70187135","128.55468495000002","116.3676954","38.32559962","112.4731636","89.05548620666667","103.934035","62.64621844","59.78375903","80.80107919","76.791272915","27.88443216","40.45921831","40.27588347","73.21823463","81.75933415","38.78343517","73.79624125","96.15247396","95.0233745","62.3160145","94.29678852","102.548526","29.93324282","65.88055380307694","25.00036239","76.13564849","88.11245144","181.4097432","94.04771708","21.09174674","33.00031275","74.31235756","157.8032595","83.43484434999999"
"1942","175.722691","136.9381346","99.2766703","137.31249863333335","113.3223218","34.63411549","105.3931771","84.44987146333334","110.0484175","62.18042915","60.10580067","90.31484287","80.66237254750001","22.9080738","49.93865031","36.33448291","74.05003792","74.50709613","32.00613497","66.68825973","86.8598198","94.45789798","55.46377757","86.87521209","93.07493407","34.52548663","62.12998953153847","26.45771019","81.40850537","102.9341691","157.0484451","104.2473092","19.39736035","44.64385939","87.52137326","165.5515431","87.69003056222223"
"1943","175.5217108","138.2221104","77.72953298","130.49111806","121.7018675","32.6321435","99.30108599","84.54503233000001","129.3592442","61.22073431","92.22572197","102.5944912","96.35004792","21.58390768","54.61395541","34.23422378","69.98804724","72.49120381","30.15606936","62.83344703","81.83902097","88.99790388","52.45800025","82.47003327","87.36641148","32.52979376","59.35092445538461","24.92836278","76.70281141","101.4429433","169.0627865","70.98977538","18.27612564","40.56766175","74.16433218","235.1571571","90.14355067111109"
"1944","169.5307167","138.804918","66.30646444","124.88069971333334","129.8557692","32.07591378","97.60845384","86.51337894","136.5479069","60.17719907","100.6237525","109.2529326","101.6504477675","21.21600017","57.8125","33.65068588","68.79506917","87.25049331","29.64204545","61.76242236","80.44403766","87.48089415","52.94148936","82.55598895","85.8261243","31.97530864","60.10408149230769","24.50344751","75.39537713","103.3070924","168.0948276","69.77972239","17.96460077","40.36667671","71.20149888","278.6132385","94.35849798777778"
"1945","165.9177095","131.0784626","68.03405985","121.67674398333332","133.0576923","31.36311569","95.43937709","86.62006169333334","138.906253","58.83992798","122.7589266","110.5096307","107.75368456999999","20.7445335","56.52777778","32.90289286","67.26628985","96.21425507","28.98333333","62.07522429","78.65639238","85.53687428","52.34231678","83.63850365","83.9188771","49.40946502","61.401287376153846","23.95892645","74.77437596","113.068864","159.3693487","68.22906189","17.56538742","46.97988015","69.61924335","265.6929249","93.25089031333333"
